Tank	Coral ID	Fv/Fm			Time start	12:51
6A-C	21-29B	485			Time end	2:41
6A-C	21-37A	486			meas-int	12
6A-C	23-02B	538			out-gain	8
6A-C	23-22A	482			damp	2
6A-C	25-19A	448			sat-int	8
6A-C	25-30B	471			sat-width	0.8
6A-C	26-27B	502			etr-fac	0.84
6A-C	26-20B	563			zero-offs	125
6A-C	28-12A	556			dep-gain	1
6A-C	28-08B	536			dep-offs	0
6A-C	29-26B	562			light-gain	1
6A-C	29-22B	560			light-offs	0
6A-HL	21-40B	402				
6A-HL	21-35A	364				
6A-HL	23-05B	390				
6A-HL	23-03A	378				
6A-HL	25-13B	329				
6A-HL	25-04A	360				
6A-HL	26-24A	380				
6A-HL	26-08A	430				
6A-HL	28-01B	430				
6A-HL	28-24B	327				
6A-HL	29-01B	451				
6A-HL	29-17A	471				
6A-HT	21-06B	506				
6A-HT	21-02A	542				
6A-HT	23-19A	491				
6A-HT	23-09B	511				
6A-HT	25-16A	503				
6A-HT	25-03B	509				
6A-HT	26-19A	552				
6A-HT	26-12A	515				
6A-HT	28-41B	510				
6A-HT	28-47A	503				
6A-HT	29-17B	527				
6A-HT	29-14A	584				
6B-C	21-04B	510				
6B-C	21-06A	465				
6B-C	23-20B	505				
6B-C	23-20A	503				
6B-C	25-17B	491				
6B-C	25-13A	493				
6B-C	26-23A	506				
6B-C	26-01B	517				
6B-C	28-50B	566				
6B-C	28-03A	573				
6B-C	29-23B	580				
6B-C	29-22A	600				
6B-HL	21-03B	342				
6B-HL	21-23A	391				
6B-HL	23-04B	390				
6B-HL	23-10A	307				
6B-HL	25-01A	268				
6B-HL	25-15A	304				
6B-HL	26-29A	392				
6B-HL	26-20A	349				
6B-HL	28-29A	406				
6B-HL	28-08A	341				
6B-HL	29-08B	434				
6B-HL	29-26A	443				
6B-HT	21-01A	530				
6B-HT	21-01B	495				
6B-HT	23-01B	520				
6B-HT	23-29B	539				
6B-HT	25-02A	476				
6B-HT	25-16B	502				
6B-HT	26-29B	552				
6B-HT	26-28B	531				
6B-HT	28-47B	506				
6B-HT	28-41A	532				
6B-HT	29-02B	547				
6B-HT	29-10A	549				
7A-C	21-27B	501				
7A-C	21-21B	511				
7A-C	23-09A	559				
7A-C	23-01A	548				
7A-C	25-12B	500				
7A-C	25-03A	517				
7A-C	26-19B	551				
7A-C	26-21B	543				
7A-C	28-01A	587				
7A-C	28-33A	572				
7A-C	29-14B	622				
7A-C	29-23A	622				
7A-HL	21-02B	446				
7A-HL	21-09B	418				
7A-HL	23-04A	446				
7A-HL	23-02A	353				
7A-HL	25-17A	340				
7A-HL	25-01B	350				
7A-HL	26-23B	427				
7A-HL	26-13A	367				
7A-HL	28-29B	464				
7A-HL	28-03B	475				
7A-HL	29-08A	524				
7A-HL	29-16B	443				
7A-HT	21-03A	525				
7A-HT	21-39A	503				
7A-HT	23-13B	449				
7A-HT	23-13A	518				
7A-HT	25-02B	477				
7A-HT	25-12A	491				
7A-HT	26-08B	517				
7A-HT	26-28A	534				
7A-HT	28-04A	490				
7A-HT	28-14B	547				
7A-HT	29-20B	551				
7A-HT	29-12A	564				
6B-HL	28-33B	379				
6B-HL	25-10B	308				
6B-HL	29-02A	500				
6B-HT	28-04B	557				
6B-HT	25-18A	494				
6B-HT	29-28B	576				
6A-HL	28-50A	383				
6A-HL	26-01A	400				
6A-HL	21-23B	371				
6A-HT	28-14A	513				
6A-HT	26-13B	545				
6A-HT	21-05A	488				
7A-HL	25-1A	375				
7A-HL	21-35B	375				
7A-HL	29-20A	514				
7A-HT	25-30A	540				
7A-HT	21-04A	536				
7A-HT	29-01A	574				
