Tank	Coral ID	Fv/Fm			Time start	1:35
6A-C	21-29B	565			Time end	2:43
6A-C	21-37A	533			meas-int	12
6A-C	23-02B	611			out-gain	5
6A-C	23-22A	626			damp	2
6A-C	25-19A	535			sat-int	8
6A-C	25-30B	535			sat-width	0.8
6A-C	26-27B	566			etr-fac	0.84
6A-C	26-20B	540			zero-offs	79
6A-C	28-12A	628			dep-gain	1
6A-C	28-08B	619			dep-offs	0
6A-C	29-26B	616			light-gain	1
6A-C	29-22B	611			light-offs	0
6A-HL	21-40B	555				
6A-HL	21-35A	555				
6A-HL	23-05B	556				
6A-HL	23-03A	527				
6A-HL	25-13B	541				
6A-HL	25-04A	511				
6A-HL	26-24A	558				
6A-HL	26-08A	554				
6A-HL	28-01B	613				
6A-HL	28-24B	562				
6A-HL	29-01B	656				
6A-HL	29-17A	625				
6A-HT	21-06B	568				
6A-HT	21-02A	545				
6A-HT	23-19A	570				
6A-HT	23-09B	593				
6A-HT	25-16A	509				
6A-HT	25-03B	512				
6A-HT	26-19A	537				
6A-HT	26-12A	537				
6A-HT	28-41B	469				
6A-HT	28-47A	543				
6A-HT	29-17B	636				
6A-HT	29-14A	669				
6B-C	21-04B	492				
6B-C	21-06A	491				
6B-C	23-20B	472				
6B-C	23-20A	546				
6B-C	25-17B	502				
6B-C	25-13A	448				
6B-C	26-23A	476				
6B-C	26-01B	498				
6B-C	28-50B	534				
6B-C	28-03A	574				
6B-C	29-23B	570				
6B-C	29-22A	619				
6B-HL	21-03B	537				
6B-HL	21-23A	503				
6B-HL	23-04B	602				
6B-HL	23-10A	592				
6B-HL	25-01A	535				
6B-HL	25-15A	520				
6B-HL	26-29A	557				
6B-HL	26-20A	549				
6B-HL	28-29A	578				
6B-HL	28-08A	591				
6B-HL	29-26A	642				
6B-HL	29-08B	613				
6B-HT	21-01A	560				
6B-HT	21-01B	546				
6B-HT	23-01B	593				
6B-HT	23-29B	636				
6B-HT	25-02A	505				
6B-HT	25-16B	507				
6B-HT	26-29B	579				
6B-HT	26-28B	559				
6B-HT	28-47B	528				
6B-HT	28-41A	570				
6B-HT	29-02B	567				
6B-HT	29-10A	640				
7A-C	21-27B	546				
7A-C	21-21B	540				
7A-C	23-09A	608				
7A-C	23-01A	585				
7A-C	25-12B	565				
7A-C	25-03A	588				
7A-C	26-19B	577				
7A-C	26-21B	573				
7A-C	28-01A	484				
7A-C	28-33A	604				
7A-C	29-14B	596				
7A-C	29-23A	631				
7A-HL	21-02B	560				
7A-HL	21-09B	556				
7A-HL	23-04A	574				
7A-HL	23-02A	541				
7A-HL	25-17A	533				
7A-HL	25-01B	526				
7A-HL	26-23B	555				
7A-HL	26-13A	532				
7A-HL	28-29B	612				
7A-HL	28-03B	613				
7A-HL	29-08A	598				
7A-HL	29-16B	647				
7A-HT	21-03A	559				
7A-HT	21-39A	543				
7A-HT	23-13B	621				
7A-HT	23-13A	672				
7A-HT	25-02B	554				
7A-HT	25-12A	543				
7A-HT	26-08B	535				
7A-HT	26-28A	578				
7A-HT	28-04A	626				
7A-HT	28-14B	595				
7A-HT	29-20B	645				
7A-HT	29-12A	661				
6B-HL	28-33B	540				
6B-HL	25-10B	557				
6B-HL	29-02A	633				
6B-HT	28-04B	602				
6B-HT	25-18A	484				
6B-HT	29-28B	645				
6A-HL	28-50A	555				
6A-HL	26-01A	571				
6A-HL	21-23B	553				
6A-HT	28-14A	596				
6A-HT	26-13B	597				
6A-HT	21-05A	545				
7A-HL	25-1A	581				
7A-HL	21-35B	533				
7A-HL	29-20A	641				
7A-HT	25-30A	511				
7A-HT	21-04A	553				
7A-HT	29-01A	654				
