Tank	Coral ID	Fv/Fm			Time start	1:02
6A-C	21-29B	520			Time end	2:20
6A-C	21-37A	488			meas-int	12
6A-C	23-02B	564			out-gain	8
6A-C	23-22A	511			damp	2
6A-C	25-19A	460			sat-int	8
6A-C	25-30B	489			sat-width	0.8
6A-C	26-27B	492			etr-fac	0.84
6A-C	26-20B	532			zero-offs	125
6A-C	28-12A	572			dep-gain	1
6A-C	28-08B	581			dep-offs	0
6A-C	29-26B	576			light-gain	1
6A-C	29-22B	597			light-offs	0
6A-HL	21-40B	389				
6A-HL	21-35A	324				
6A-HL	23-05B	411				
6A-HL	23-03A	391				
6A-HL	25-13B	301				
6A-HL	25-04A	339				
6A-HL	26-24A	377				
6A-HL	26-08A	388				
6A-HL	28-01B	408				
6A-HL	28-24B	388				
6A-HL	29-01B	467				
6A-HL	29-17A	447				
6A-HT	21-06B	558				
6A-HT	21-02A	552				
6A-HT	23-19A	552				
6A-HT	23-09B	531				
6A-HT	25-16A	476				
6A-HT	25-03B	493				
6A-HT	26-19A	567				
6A-HT	26-12A	564				
6A-HT	28-41B	525				
6A-HT	28-47A	482				
6A-HT	29-17B	583				
6A-HT	29-14A	587				
6B-C	21-04B	483				
6B-C	21-06A	465				
6B-C	23-20B	492				
6B-C	23-20A	533				
6B-C	25-17B	487				
6B-C	25-13A	485				
6B-C	26-23A	474				
6B-C	26-01B	509				
6B-C	28-50B	543				
6B-C	28-03A	583				
6B-C	29-23B	565				
6B-C	29-22A	587				
6B-HL	21-03B	299				
6B-HL	21-23A	378				
6B-HL	23-04B	426				
6B-HL	23-10A	337				
6B-HL	25-01A	243				
6B-HL	25-15A	332				
6B-HL	26-29A	402				
6B-HL	26-20A	361				
6B-HL	28-29A	417				
6B-HL	28-08A	372				
6B-HL	29-26A	371				
6B-HL	29-08B	414				
6B-HT	21-01A	536				
6B-HT	21-01B	482				
6B-HT	23-01B	467				
6B-HT	23-29B	526				
6B-HT	25-02A	425				
6B-HT	25-16B	454				
6B-HT	26-29B	535				
6B-HT	26-28B	574				
6B-HT	28-47B	448				
6B-HT	28-41A	504				
6B-HT	29-02B	541				
6B-HT	29-10A	526				
7A-C	21-27B	490				
7A-C	21-21B	509				
7A-C	23-09A	575				
7A-C	23-01A	540				
7A-C	25-12B	529				
7A-C	25-03A	538				
7A-C	26-19B	544				
7A-C	26-21B	545				
7A-C	28-01A	594				
7A-C	28-33A	593				
7A-C	29-14B	611				
7A-C	29-23A	608				
7A-HL	21-02B	392				
7A-HL	21-09B	396				
7A-HL	23-04A	411				
7A-HL	23-02A	307				
7A-HL	25-17A	381				
7A-HL	25-01B	375				
7A-HL	26-23B	402				
7A-HL	26-13A	376				
7A-HL	28-29B	433				
7A-HL	28-03B	399				
7A-HL	29-08A	457				
7A-HL	29-16B	405				
7A-HT	21-03A	550				
7A-HT	21-39A	495				
7A-HT	23-13B	483				
7A-HT	23-13A	491				
7A-HT	25-02B	408				
7A-HT	25-12A	431				
7A-HT	26-08B	531				
7A-HT	26-28A	545				
7A-HT	28-04A	511				
7A-HT	28-14B	488				
7A-HT	29-20B	581				
7A-HT	29-12A	522				
6B-HL	28-33B	328				
6B-HL	25-10B	302				
6B-HL	29-02A	397				
6B-HT	28-04B	508				
6B-HT	25-18A	410				
6B-HT	29-28B	535				
6A-HL	28-50A	424				
6A-HL	26-01A	393				
6A-HL	21-23B	381				
6A-HT	28-14A	491				
6A-HT	26-13B	580				
6A-HT	21-05A	556				
7A-HL	25-1A	326				
7A-HL	21-35B	342				
7A-HL	29-20A	412				
7A-HT	25-30A	449				
7A-HT	21-04A	541				
7A-HT	29-01A	524				
