Tank	Coral ID	Fv/Fm			Time start	12:37
6A-C	21-29B	547			Time end	2:00
6A-C	21-37A	483			meas-int	12
6A-C	23-02B	595			out-gain	12
6A-C	23-22A	514			damp	2
6A-C	25-19A	424			sat-int	8
6A-C	25-30B	493			sat-width	0.8
6A-C	26-27B	469			etr-fac	0.84
6A-C	26-20B	516			zero-offs	238
6A-C	28-12A	578			dep-gain	1
6A-C	28-08B	586			dep-offs	0
6A-C	29-26B	590			light-gain	1
6A-C	29-22B	633			light-offs	0
6A-HL	21-40B	410				
6A-HL	21-35A	414				
6A-HL	23-05B	464				
6A-HL	23-03A	384				
6A-HL	25-13B	402				
6A-HL	25-04A	436				
6A-HL	26-24A	406				
6A-HL	26-08A	447				
6A-HL	28-01B	480				
6A-HL	28-24B	510				
6A-HL	29-01B	528				
6A-HL	29-17A	436				
6A-HT	21-06B	522				
6A-HT	21-02A	549				
6A-HT	23-19A	377				
6A-HT	23-09B	563				
6A-HT	25-16A	529				
6A-HT	25-03B	440				
6A-HT	26-19A	554				
6A-HT	26-12A	509				
6A-HT	28-41B	365				
6A-HT	28-47A	387				
6A-HT	29-17B	480				
6A-HT	29-14A	472				
6B-C	21-04B	594				
6B-C	21-06A	584				
6B-C	23-20B	513				
6B-C	23-20A	561				
6B-C	25-17B	494				
6B-C	25-13A	594				
6B-C	26-23A	496				
6B-C	26-01B	521				
6B-C	28-50B	581				
6B-C	28-03A	610				
6B-C	29-23B	604				
6B-C	29-22A	610				
6B-HL	21-03B	394				
6B-HL	21-23A	376				
6B-HL	23-04B	404				
6B-HL	23-10A	420				
6B-HL	25-01A	328				
6B-HL	25-15A	367				
6B-HL	26-29A	440				
6B-HL	26-20A	383				
6B-HL	28-29A	408				
6B-HL	28-08A	505				
6B-HL	29-26A	478				
6B-HL	29-08B	476				
6B-HT	21-01A	497				
6B-HT	21-01B	473				
6B-HT	23-01B	477				
6B-HT	23-29B	461				
6B-HT	25-02A	440				
6B-HT	25-16B	430				
6B-HT	26-29B	520				
6B-HT	26-28B	527				
6B-HT	28-47B	292				
6B-HT	28-41A	397				
6B-HT	29-02B	410				
6B-HT	29-10A	440				
7A-C	21-27B	521				
7A-C	21-21B	506				
7A-C	23-09A	586				
7A-C	23-01A	560				
7A-C	25-12B	544				
7A-C	25-03A	548				
7A-C	26-19B	578				
7A-C	26-21B	563				
7A-C	28-01A	586				
7A-C	28-33A	590				
7A-C	29-14B	603				
7A-C	29-23A	632				
7A-HL	21-02B	411				
7A-HL	21-09B	384				
7A-HL	23-04A	393				
7A-HL	23-02A	395				
7A-HL	25-17A	417				
7A-HL	25-01B	375				
7A-HL	26-23B	430				
7A-HL	26-13A	432				
7A-HL	28-29B	511				
7A-HL	28-03B	489				
7A-HL	29-08A	531				
7A-HL	29-16B	527				
7A-HT	21-03A	505				
7A-HT	21-39A	474				
7A-HT	23-13B	363				
7A-HT	23-13A	414				
7A-HT	25-02B	415				
7A-HT	25-12A	368				
7A-HT	26-08B	512				
7A-HT	26-28A	511				
7A-HT	28-04A	445				
7A-HT	28-14B	316				
7A-HT	29-20B	477				
7A-HT	29-12A	494				
6B-HL	28-33B	522				
6B-HL	25-10B	486				
6B-HL	29-02A	333				
6B-HT	28-04B	262				
6B-HT	25-18A	429				
6B-HT	29-28B	410				
6A-HL	28-50A	468				
6A-HL	26-01A	363				
6A-HL	21-23B	346				
6A-HT	28-14A	329				
6A-HT	26-13B	587				
6A-HT	21-05A	510				
7A-HL	25-1A	344				
7A-HL	21-35B	365				
7A-HL	29-20A	486				
7A-HT	25-30A	460				
7A-HT	21-04A	481				
7A-HT	29-01A	525				
