Tank	Coral ID	FV/FM			Time start	12:30
7BH	21-01A	502			Time end	1:54
7AC	21-01B	477			meas-int	12
6AH	21-02A	500			out-gain	4
7AH	21-02B	510			damp	2
7AH	21-03A	531			sat-int	8
6AH	21-03B	492			sat-width	0.8
7BC	21-04A	511			etr-fac	0.84
6AC	21-04B	522			zero-offs	51
6AC	21-05A	518			dep-gain	1
7BC	21-06A	497			dep-offs	0
7AH	21-06B	501			light-gain	1
7BC	21-09B	480			light-offs	0
6AH	21-21B	494				
6AC	21-23A	528				
7BH	21-23B	493				
7AC	21-27B	513				
7BH	21-29B	543				
7AC	21-35A	505				
6AC	21-35B	508				
7AH	21-37A	489				
7AC	21-39A	500				
6AH	21-40B	508				
7AH	23-01A	495				
7BC	23-01B	586				
7AC	23-02A	529				
7AC	23-02B	544				
7BH	23-03A	250				
7BC	23-04A	549				
6AC	23-04B	594				
7AH	23-05B	473				
6AC	23-09A	619				
6AH	23-09B	370				
6AH	23-10A	515				
7BH	23-13A	551				
6AC	23-13B	603				
7AC	23-19A	578				
6AH	23-20A	609				
7BH	23-20B	291				
7BC	23-22A	598				
7AH	23-29B	525				
7BC	25-01A	462				
7AH	25-01B	367				
6AC	25-02A	501				
6AH	25-02B	456				
7AH	25-03A	453				
7AC	25-03B	428				
7AC	25-04A	466				
7BH	25-10B	390				
7BH	25-12A	462				
7AC	25-12B	511				
7BH	25-13A	321				
6AC	25-13B	515				
6AH	25-15A	432				
7AH	25-16A	486				
6AC	25-16B	494				
7BC	25-17A	514				
7BC	25-17B	495				
7BC	25-18A	501				
6AC	25-19A	479				
7BH	25-1A	458				
6AH	25-30A	455				
6AH	25-30B	351				
7AC	26-01A	504				
7BC	26-01B	500				
7AH	26-08A	468				
6AC	26-08B	482				
7BH	26-12A	507				
6AC	26-13A	538				
7BC	26-13B	515				
7AH	26-19A	522				
6AH	26-19B	484				
6AH	26-20A	463				
6AC	26-20B	554				
7AC	26-21B	537				
7BH	26-23A	471				
7BH	26-23B	505				
7AC	26-24A	490				
7AH	26-27B	483				
7AC	26-28A	517				
6AH	26-28B	510				
7AH	26-29A	507				
7BH	26-29B	544				
6AC	28-01A	602				
6AH	28-01B	505				
6AH	28-03A	584				
7BC	28-03B	587				
7AC	28-04A	536				
6AH	28-04B	549				
7AC	28-08A	556				
7AC	28-08B	577				
7BH	28-12A	349				
7BH	28-14A	523				
6AC	28-14B	591				
7BH	28-24B	470				
7AH	28-29A	516				
6AH	28-29B	523				
7BC	28-33A	570				
6AC	28-33B	557				
7BC	28-41A	556				
7AH	28-41B	488				
7BH	28-47A	476				
6AC	28-47B	525				
7BH	28-50A	543				
7AH	28-50B	455				
6AH	29-01A	408				
7BC	29-01B	564				
7AH	29-02A	509				
7AC	29-02B	598				
7AC	29-08A	593				
6AH	29-08B	508				
7AH	29-10A	531				
7BH	29-12A	486				
7BC	29-14A	582				
6AC	29-14B	595				
6AC	29-16B	637				
7BH	29-17A	526				
7BC	29-17B	589				
7AH	29-20A	580				
6AC	29-20B	579				
7BC	29-22A	590				
6AH	29-22B	537				
7AC	29-23A	576				
7AH	29-23B	553				
7BC	29-26A	595				
7BH	29-26B	559				
7AC	29-28B	580				
