Tank	Coral ID	FV/FM			Time start	12:35
7BH	21-01A	527			Time end	1:47
7AC	21-01B	525			meas-int	12
6AH	21-02A	509			out-gain	4
7AH	21-02B	582			damp	2
7AH	21-03A	547			sat-int	8
6AH	21-03B	455			sat-width	0.8
7BC	21-04A	531			etr-fac	0.84
6AC	21-04B	500			zero-offs	60
6AC	21-05A	530			dep-gain	1
7BC	21-06A	513			dep-offs	0
7AH	21-06B	516			light-gain	1
7BC	21-09B	494			light-offs	0
6AH	21-21B	545				
6AC	21-23A	535				
7BH	21-23B	532				
7AC	21-27B	543				
7BH	21-29B	572				
7AC	21-35A	530				
6AC	21-35B	535				
7AH	21-37A	494				
7AC	21-39A	517				
6AH	21-40B	532				
7AH	23-01A	462				
7BC	23-01B	587				
7AC	23-02A	614				
7AC	23-02B	596				
7BH	23-03A	292				
7BC	23-04A	588				
6AC	23-04B	595				
7AH	23-05B	446				
6AC	23-09A	606				
6AH	23-09B	375				
6AH	23-10A	442				
7BH	23-13A	578				
6AC	23-13B	593				
7AC	23-19A	601				
6AH	23-20A	591				
7BH	23-20B	406				
7BC	23-22A	587				
7AH	23-29B	503				
7BC	25-01A	492				
7AH	25-01B	373				
6AC	25-02A	509				
6AH	25-02B	436				
7AH	25-03A	415				
7AC	25-03B	480				
7AC	25-04A	508				
7BH	25-10B	439				
7BH	25-12A	507				
7AC	25-12B	521				
7BH	25-13A	363				
6AC	25-13B	496				
6AH	25-15A	371				
7AH	25-16A	502				
6AC	25-16B	518				
7BC	25-17A	498				
7BC	25-17B	503				
7BC	25-18A	512				
6AC	25-19A	460				
7BH	25-1A	433				
6AH	25-30A	434				
6AH	25-30B	327				
7AC	26-01A	515				
7BC	26-01B	520				
7AH	26-08A	494				
6AC	26-08B	512				
7BH	26-12A	528				
6AC	26-13A	543				
7BC	26-13B	507				
7AH	26-19A	538				
6AH	26-19B	507				
6AH	26-20A	447				
6AC	26-20B	562				
7AC	26-21B	554				
7BH	26-23A	515				
7BH	26-23B	526				
7AC	26-24A	486				
7AH	26-27B	498				
7AC	26-28A	535				
6AH	26-28B	488				
7AH	26-29A	521				
7BH	26-29B	555				
6AC	28-01A	553				
6AH	28-01B	457				
6AH	28-03A	572				
7BC	28-03B	582				
7AC	28-04A	574				
6AH	28-04B	474				
7AC	28-08A	566				
7AC	28-08B	610				
7BH	28-12A	355				
7BH	28-14A	447				
6AC	28-14B	601				
7BH	28-24B	457				
7AH	28-29A	543				
6AH	28-29B	496				
7BC	28-33A	576				
6AC	28-33B	560				
7BC	28-41A	571				
7AH	28-41B	511				
7BH	28-47A	484				
6AC	28-47B	547				
7BH	28-50A	477				
7AH	28-50B	451				
6AH	29-01A	441				
7BC	29-01B	597				
7AH	29-02A	524				
7AC	29-02B	619				
7AC	29-08A	606				
6AH	29-08B	559				
7AH	29-10A	544				
7BH	29-12A	475				
7BC	29-14A	604				
6AC	29-14B	601				
6AC	29-16B	634				
7BH	29-17A	486				
7BC	29-17B	589				
7AH	29-20A	567				
6AC	29-20B	611				
7BC	29-22A	611				
6AH	29-22B	465				
7AC	29-23A	582				
7AH	29-23B	500				
7BC	29-26A	601				
7BH	29-26B	497				
7AC	29-28B	585				
