Tank	Coral ID	Fv/Fm			Time start	1:04
6A-C	21-29B	513			Time end	2:25
6A-C	21-37A	501			meas-int	12
6A-C	23-02B	577			out-gain	8
6A-C	23-22A	530			damp	2
6A-C	25-19A	509			sat-int	8
6A-C	25-30B	500			sat-width	0.8
6A-C	26-27B	502			etr-fac	0.84
6A-C	26-20B	536			zero-offs	126
6A-C	28-12A	597			dep-gain	1
6A-C	28-08B	581			dep-offs	0
6A-C	29-26B	565			light-gain	1
6A-C	29-22B	537			light-offs	0
6A-HL	21-40B	494				
6A-HL	21-35A	487				
6A-HL	23-05B	471				
6A-HL	23-03A	415				
6A-HL	25-13B	463				
6A-HL	25-04A	460				
6A-HL	26-24A	488				
6A-HL	26-08A	473				
6A-HL	28-01B	546				
6A-HL	28-24B	505				
6A-HL	29-01B	595				
6A-HL	29-17A	557				
6A-HL	28-50A	539				
6A-HL	26-01A	501				
6A-HL	21-23B	485				
6A-HT	21-06B	565				
6A-HT	21-02A	578				
6A-HT	23-19A	620				
6A-HT	23-09B	514				
6A-HT	25-16A	517				
6A-HT	25-03B	543				
6A-HT	26-19A	581				
6A-HT	26-12A	563				
6A-HT	28-41B	525				
6A-HT	28-47A	492				
6A-HT	29-17B	606				
6A-HT	29-14A	634				
6A-HT	28-14A	535				
6A-HT	26-13B	588				
6A-HT	21-05A	584				
6B-C	21-04B	543				
6B-C	21-06A	513				
6B-C	23-20B	562				
6B-C	23-20A	568				
6B-C	25-17B	506				
6B-C	25-13A	500				
6B-C	26-23A	504				
6B-C	26-01B	515				
6B-C	28-50B	554				
6B-C	28-03A	600				
6B-C	29-23B	598				
6B-C	29-22A	613				
6B-HL	21-03B	552				
6B-HL	21-23A	576				
6B-HL	23-04B	540				
6B-HL	23-10A	640				
6B-HL	25-01A	507				
6B-HL	25-15A	561				
6B-HL	26-29A	609				
6B-HL	26-20A	577				
6B-HL	28-29A	524				
6B-HL	28-08A	595				
6B-HL	29-26A	671				
6B-HL	29-08B	596				
6B-HL	28-33B	518				
6B-HL	25-10B	517				
6B-HL	29-02A	542				
6B-HT	21-01A	565				
6B-HT	21-01B	521				
6B-HT	23-01B	607				
6B-HT	23-29B	546				
6B-HT	25-02A	473				
6B-HT	25-16B	524				
6B-HT	26-29B	551				
6B-HT	26-28B	569				
6B-HT	28-47B	720				
6B-HT	28-41A	558				
6B-HT	29-02B	638				
6B-HT	29-10A	651				
6B-HT	28-04B	580				
6B-HT	25-18A	516				
6B-HT	29-28B	635				
7A-C	21-27B	527				
7A-C	21-21B	547				
7A-C	23-09A	620				
7A-C	23-01A	573				
7A-C	25-12B	551				
7A-C	25-03A	580				
7A-C	26-19B	594				
7A-C	26-21B	616				
7A-C	28-01A	587				
7A-C	28-33A	621				
7A-C	29-14B	628				
7A-C	29-23A	633				
7A-HL	21-02B	541				
7A-HL	21-09B	532				
7A-HL	23-04A	531				
7A-HL	23-02A	427				
7A-HL	25-17A	532				
7A-HL	25-01B	506				
7A-HL	26-23B	562				
7A-HL	26-13A	535				
7A-HL	28-29B	557				
7A-HL	28-03B	572				
7A-HL	29-08A	567				
7A-HL	29-16B	619				
7A-HL	25-1A	554				
7A-HL	21-35B	523				
7A-HL	29-20A	648				
7A-HT	21-03A	592				
7A-HT	21-39A	548				
7A-HT	23-13B	600				
7A-HT	23-13A	605				
7A-HT	25-02B	534				
7A-HT	25-12A	522				
7A-HT	26-08B	568				
7A-HT	26-28A	585				
7A-HT	28-04A	504				
7A-HT	28-14B	532				
7A-HT	29-20B	656				
7A-HT	29-12A	620				
7A-HT	25-30A	517				
7A-HT	21-04A	579				
7A-HT	29-01A	665				
