Tank	Coral ID	Fv/Fm			Time start	12:46
6A-C	21-29B	534			Time end	2:44
6A-C	21-37A	533			meas-int	12
6A-C	23-02B	555			out-gain	8
6A-C	23-22A	456			damp	2
6A-C	25-19A	498			sat-int	8
6A-C	25-30B	517			sat-width	0.8
6A-C	26-20B	572			etr-fac	0.84
6A-C	26-27B	527			zero-offs	125
6A-C	28-08B	579			dep-gain	1
6A-C	28-12A	588			dep-offs	0
6A-C	29-22B	563			light-gain	1
6A-C	29-26B	596			light-offs	0
6A-HL	21-35A	471				
6A-HL	21-40B	523				
6A-HL	23-03A	487				
6A-HL	23-05B	515				
6A-HL	25-04A	517				
6A-HL	25-13B	505				
6A-HL	26-08A	529				
6A-HL	26-24A	525				
6A-HL	28-01B	603				
6A-HL	28-24B	565				
6A-HL	29-01B	602				
6A-HL	29-17A	557				
6A-HT	21-02A	523				
6A-HT	21-06B	512				
6A-HT	23-09B	556				
6A-HT	23-19A	565				
6A-HT	25-03B	552				
6A-HT	25-16A	532				
6A-HT	26-12A	535				
6A-HT	26-19A	565				
6A-HT	28-41B	564				
6A-HT	28-47A	542				
6A-HT	29-14A	589				
6A-HT	29-17B	579				
6B-C	21-04B	562				
6B-C	21-06A	504				
6B-C	23-20A	573				
6B-C	23-20B	504				
6B-C	25-13A	509				
6B-C	25-17B	507				
6B-C	26-01B	550				
6B-C	26-23A	553				
6B-C	28-03A	569				
6B-C	28-50B	599				
6B-C	29-22A	584				
6B-C	29-23B	559				
6B-HL	21-03B	532				
6B-HL	21-23A	514				
6B-HL	23-04B	591				
6B-HL	23-10A	500				
6B-HL	25-01A	531				
6B-HL	25-15A	554				
6B-HL	26-20A	547				
6B-HL	26-29A	560				
6B-HL	28-08A	595				
6B-HL	28-29A	525				
6B-HL	29-08B	611				
6B-HL	29-26A	593				
6B-HT	21-01A	528				
6B-HT	21-01B	511				
6B-HT	23-01B	547				
6B-HT	23-29B	562				
6B-HT	25-02A	523				
6B-HT	25-16B	531				
6B-HT	26-28B	554				
6B-HT	26-29B	558				
6B-HT	28-41A	548				
6B-HT	28-47B	540				
6B-HT	29-02B	534				
6B-HT	29-10A	596				
7A-C	21-21B	519				
7A-C	21-27B	512				
7A-C	23-01A	568				
7A-C	23-09A	555				
7A-C	25-03A	568				
7A-C	25-12B	552				
7A-C	26-19B	557				
7A-C	26-21B	556				
7A-C	28-01A	616				
7A-C	28-33A	568				
7A-C	29-14B	579				
7A-C	29-23A	570				
7A-HL	21-02B	532				
7A-HL	21-09B	511				
7A-HL	23-02A	512				
7A-HL	23-04A	554				
7A-HL	25-01B	537				
7A-HL	25-17A	522				
7A-HL	26-13A	549				
7A-HL	26-23B	509				
7A-HL	28-03B	612				
7A-HL	28-29B	585				
7A-HL	29-08A	597				
7A-HL	29-16B	612				
7A-HT	21-03A	531				
7A-HT	21-39A	511				
7A-HT	23-13A	556				
7A-HT	23-13B	523				
7A-HT	25-02B	548				
7A-HT	25-12A	556				
7A-HT	26-08B	523				
7A-HT	26-28A	553				
7A-HT	28-04A	557				
7A-HT	28-14B	546				
7A-HT	29-12A	569				
7A-HT	29-20B	553				
6B-HT	29-28B	560				
6B-HL	28-33B	549				
6B-HL	29-02A	557				
6A-HL	28-50A	560				
7A-HL	29-20A	563				
6A-HT	28-14A	565				
6B-HT	28-04B	564				
7A-HT	29-01A	600				
6A-HT	26-13B	542				
7A-HL	21-35B	476				
6B-HL	25-10B	492				
6A-HL	26-01A	558				
7A-HT	25-30A	519				
6A-HL	21-23B	510				
7A-HT	21-04A	545				
6A-HT	21-05A	516				
6B-HT	25-18A	584				
7A-HL	25-1A	506				
