Tank	Coral ID	Fv/Fm			Time start	12:40
7BH	21-01A	532			Time end	2:01
7AC	21-01B	522			meas-int	12
6AH	21-02A	543			out-gain	4
7AH	21-02B	558			damp	2
7AH	21-03A	536			sat-int	8
6AH	21-03B	533			sat-width	0.8
7BC	21-04A	545			etr-fac	0.84
6AC	21-04B	542			zero-offs	53
6AC	21-05A	554			dep-gain	1
7BC	21-06A	492			dep-offs	0
7AH	21-06B	518			light-gain	1
7BC	21-09B	523			light-offs	0
6AH	21-21B	542				
6AC	21-23A	544				
7BH	21-23B	513				
7AC	21-27B	549				
7BH	21-29B	581				
7AC	21-35A	547				
6AC	21-35B	517				
7AH	21-37A	519				
7AC	21-39A	545				
6AH	21-40B	527				
7AH	23-01A	561				
7BC	23-01B	590				
7AC	23-02A	556				
7AC	23-02B	577				
7BH	23-03A	529				
7BC	23-04A	595				
6AC	23-04B	610				
7AH	23-05B	575				
6AC	23-09A	619				
6AH	23-09B	635				
6AH	23-10A	604				
7BH	23-13A	643				
6AC	23-13B	606				
7AC	23-19A	640				
6AH	23-20A	589				
7BH	23-20B	530				
7BC	23-22A	619				
7AH	23-29B	574				
7BC	25-01A	472				
7AH	25-01B	504				
6AC	25-02A	529				
6AH	25-02B	519				
7AH	25-03A	535				
7AC	25-03B	526				
7AC	25-04A	498				
7BH	25-10B	501				
7BH	25-12A	502				
7AC	25-12B	526				
7BH	25-13A	503				
6AC	25-13B	527				
6AH	25-15A	550				
7AH	25-16A	559				
6AC	25-16B	522				
7BC	25-17A	513				
7BC	25-17B	498				
7BC	25-18A	505				
6AC	25-19A	596				
7BH	25-1A	542				
6AH	25-30A	512				
6AH	25-30B	498				
7AC	26-01A	529				
7BC	26-01B	510				
7AH	26-08A	488				
6AC	26-08B	517				
7BH	26-12A	533				
6AC	26-13A	551				
7BC	26-13B	538				
7AH	26-19A	535				
6AH	26-19B	548				
6AH	26-20A	520				
6AC	26-20B	575				
7AC	26-21B	574				
7BH	26-23A	531				
7BH	26-23B	542				
7AC	26-24A	502				
7AH	26-27B	501				
7AC	26-28A	544				
6AH	26-28B	572				
7AH	26-29A	547				
7BH	26-29B	567				
6AC	28-01A	557				
6AH	28-01B	567				
6AH	28-03A	525				
7BC	28-03B	605				
7AC	28-04A	603				
6AH	28-04B	601				
7AC	28-08A	579				
7AC	28-08B	617				
7BH	28-12A	621				
7BH	28-14A	563				
6AC	28-14B	617				
7BH	28-24B	535				
7AH	28-29A	603				
6AH	28-29B	604				
7BC	28-33A	585				
6AC	28-33B	553				
7BC	28-41A	553				
7AH	28-41B	537				
7BH	28-47A	569				
6AC	28-47B	580				
7BH	28-50A	621				
7AH	28-50B	566				
6AH	29-01A	607				
7BC	29-01B	592				
7AH	29-02A	559				
7AC	29-02B	606				
7AC	29-08A	608				
6AH	29-08B	609				
7AH	29-10A	580				
7BH	29-12A	621				
7BC	29-14A	617				
6AC	29-14B	600				
6AC	29-16B	637				
7BH	29-17A	578				
7BC	29-17B	617				
7AH	29-20A	601				
6AC	29-20B	655				
7BC	29-22A	601				
6AH	29-22B	648				
7AC	29-23A	603				
7AH	29-23B	570				
7BC	29-26A	621				
7BH	29-26B	626				
7AC	29-28B	623				
