Tank	Coral ID	Fv/Fm			Time start	12:40
6A-C	21-29B	502			Time end	2:12
6A-C	21-37A	516			meas-int	12
6A-C	23-02B	593			out-gain	9
6A-C	23-22A	497			damp	2
6A-C	25-19A	490			sat-int	8
6A-C	25-30B	516			sat-width	0.8
6A-C	26-27B	500			etr-fac	0.84
6A-C	26-20B	545			zero-offs	157
6A-C	28-12A	589			dep-gain	1
6A-C	28-08B	591			dep-offs	0
6A-C	29-26B	620			light-gain	1
6A-C	29-22B	576			light-offs	0
6A-HL	21-40B	390				
6A-HL	21-35A	297				
6A-HL	23-05B	384				
6A-HL	23-03A	380				
6A-HL	25-13B	322				
6A-HL	25-04A	361				
6A-HL	26-24A	349				
6A-HL	26-08A	347				
6A-HL	28-01B	404				
6A-HL	28-24B	366				
6A-HL	29-01B	466				
6A-HL	29-17A	465				
6A-HT	21-06B	553				
6A-HT	21-02A	571				
6A-HT	23-19A	502				
6A-HT	23-09B	518				
6A-HT	25-16A	483				
6A-HT	25-03B	476				
6A-HT	26-19A	597				
6A-HT	26-12A	575				
6A-HT	28-41B	537				
6A-HT	28-47A	503				
6A-HT	29-17B	592				
6A-HT	29-14A	585				
6B-C	21-04B	480				
6B-C	21-06A	473				
6B-C	23-20B	493				
6B-C	23-20A	544				
6B-C	25-17B	476				
6B-C	25-13A	552				
6B-C	26-23A	523				
6B-C	26-01B	535				
6B-C	28-50B	600				
6B-C	28-03A	630				
6B-C	29-23B	631				
6B-C	29-22A	681				
6B-HL	21-03B	362				
6B-HL	21-23A	335				
6B-HL	23-04B	352				
6B-HL	23-10A	285				
6B-HL	25-01A	231				
6B-HL	25-15A	295				
6B-HL	26-29A	354				
6B-HL	26-20A	362				
6B-HL	28-29A	401				
6B-HL	28-08A	397				
6B-HL	29-26A	418				
6B-HL	29-08B	420				
6B-HT	21-01A	509				
6B-HT	21-01B	501				
6B-HT	23-01B	442				
6B-HT	23-29B	517				
6B-HT	25-02A	407				
6B-HT	25-16B	397				
6B-HT	26-29B	574				
6B-HT	26-28B	541				
6B-HT	28-47B	356				
6B-HT	28-41A	510				
6B-HT	29-02B	433				
6B-HT	29-10A	512				
7A-C	21-27B	509				
7A-C	21-21B	522				
7A-C	23-09A	601				
7A-C	23-01A	561				
7A-C	25-12B	512				
7A-C	25-03A	561				
7A-C	26-19B	559				
7A-C	26-21B	562				
7A-C	28-01A	591				
7A-C	28-33A	605				
7A-C	29-14B	618				
7A-C	29-23A	650				
7A-HL	21-02B	406				
7A-HL	21-09B	362				
7A-HL	23-04A	389				
7A-HL	23-02A	414				
7A-HL	25-17A	363				
7A-HL	25-01B	324				
7A-HL	26-23B	414				
7A-HL	26-13A	439				
7A-HL	28-29B	409				
7A-HL	28-03B	372				
7A-HL	29-08A	497				
7A-HL	29-16B	468				
7A-HT	21-03A	539				
7A-HT	21-39A	489				
7A-HT	23-13B	448				
7A-HT	23-13A	480				
7A-HT	25-02B	404				
7A-HT	25-12A	417				
7A-HT	26-08B	518				
7A-HT	26-28A	523				
7A-HT	28-04A	469				
7A-HT	28-14B	486				
7A-HT	29-20B	568				
7A-HT	29-12A	553				
6B-HL	28-33B	345				
6B-HL	25-10B	322				
6B-HL	29-02A	417				
6B-HT	28-04B	375				
6B-HT	25-18A	466				
6B-HT	29-28B	530				
6A-HL	28-50A	451				
6A-HL	26-01A	379				
6A-HL	21-23B	346				
6A-HT	28-14A	543				
6A-HT	26-13B	596				
6A-HT	21-05A	571				
7A-HL	25-1A	372				
7A-HL	21-35B	389				
7A-HL	29-20A	446				
7A-HT	25-30A	440				
7A-HT	21-04A	523				
7A-HT	29-01A	506				
