Tank	Coral ID	Fv/Fm			Time start	12:53
6A-C	21-29B	504			Time end	2:01
6A-C	21-37A	466			meas-int	12
6A-C	23-02B	552			out-gain	10
6A-C	23-22A	468			damp	2
6A-C	25-19A	449			sat-int	8
6A-C	25-30B	484			sat-width	0.8
6A-C	26-27B	469			etr-fac	0.84
6A-C	26-20B	523			zero-offs	151
6A-C	28-12A	553			dep-gain	1
6A-C	28-08B	562			dep-offs	0
6A-C	29-26B	537			light-gain	1
6A-C	29-22B	579			light-offs	0
6A-HL	21-40B	456				
6A-HL	21-35A	426				
6A-HL	23-05B	463				
6A-HL	23-03A	425				
6A-HL	25-13B	431				
6A-HL	25-04A	417				
6A-HL	26-24A	385				
6A-HL	26-08A	420				
6A-HL	28-01B	500				
6A-HL	28-24B	501				
6A-HL	29-01B	504				
6A-HL	29-17A	520				
6A-HT	21-06B	559				
6A-HT	21-02A	572				
6A-HT	23-19A	562				
6A-HT	23-09B	314				
6A-HT	25-16A	482				
6A-HT	25-03B	490				
6A-HT	26-19A	587				
6A-HT	26-12A	559				
6A-HT	28-41B	385				
6A-HT	28-47A	453				
6A-HT	29-17B	529				
6A-HT	29-14A	531				
6B-C	21-04B	509				
6B-C	21-06A	486				
6B-C	23-20B	512				
6B-C	23-20A	557				
6B-C	25-17B	519				
6B-C	25-13A	493				
6B-C	26-23A	508				
6B-C	26-01B	519				
6B-C	28-50B	581				
6B-C	28-03A	635				
6B-C	29-23B	582				
6B-C	29-22A	595				
6B-HL	21-03B	516				
6B-HL	21-23A	526				
6B-HL	23-04B	501				
6B-HL	23-10A	478				
6B-HL	25-01A	476				
6B-HL	25-15A	556				
6B-HL	26-29A	526				
6B-HL	26-20A	518				
6B-HL	28-29A	528				
6B-HL	28-08A	579				
6B-HL	29-26A	570				
6B-HL	29-08B	563				
6B-HT	21-01A	580				
6B-HT	21-01B	523				
6B-HT	23-01B	558				
6B-HT	23-29B	528				
6B-HT	25-02A	463				
6B-HT	25-16B	510				
6B-HT	26-29B	551				
6B-HT	26-28B	548				
6B-HT	28-47B	372				
6B-HT	28-41A	514				
6B-HT	29-02B	541				
6B-HT	29-10A	545				
7A-C	21-27B	547				
7A-C	21-21B	524				
7A-C	23-09A	586				
7A-C	23-01A	579				
7A-C	25-12B	551				
7A-C	25-03A	560				
7A-C	26-19B	601				
7A-C	26-21B	590				
7A-C	28-01A	608				
7A-C	28-33A	629				
7A-C	29-14B	635				
7A-C	29-23A	655				
7A-HL	21-02B	493				
7A-HL	21-09B	513				
7A-HL	23-04A	525				
7A-HL	23-02A	475				
7A-HL	25-17A	520				
7A-HL	25-01B	494				
7A-HL	26-23B	500				
7A-HL	26-13A	511				
7A-HL	28-29B	527				
7A-HL	28-03B	587				
7A-HL	29-08A	581				
7A-HL	29-16B	633				
7A-HT	21-03A	554				
7A-HT	21-39A	547				
7A-HT	23-13B	521				
7A-HT	23-13A	548				
7A-HT	25-02B	448				
7A-HT	25-12A	439				
7A-HT	26-08B	534				
7A-HT	26-28A	569				
7A-HT	28-04A	469				
7A-HT	28-14B	340				
7A-HT	29-20B	621				
7A-HT	29-12A	610				
6B-HL	28-33B	504				
6B-HL	25-10B	484				
6B-HL	29-02A	540				
6B-HT	28-04B	422				
6B-HT	25-18A	491				
6B-HT	29-28B	478				
6A-HL	28-50A	518				
6A-HL	26-01A	438				
6A-HL	21-23B	435				
6A-HT	28-14A	266				
6A-HT	26-13B	268				
6A-HT	21-05A	560				
7A-HL	25-1A	485				
7A-HL	21-35B	471				
7A-HL	29-20A	580				
7A-HT	25-30A	490				
7A-HT	21-04A	561				
7A-HT	29-01A	633				
