Tank	Coral ID	Fv/Fm			Time start	12:56
6A-C	21-29B	495			Time end	2:14
6A-C	21-37A	496			meas-int	12
6A-C	23-02B	579			out-gain	6
6A-C	23-22A	490			damp	2
6A-C	25-19A	472			sat-int	8
6A-C	25-30B	496			sat-width	0.8
6A-C	26-27B	490			etr-fac	0.84
6A-C	26-20B	516			zero-offs	138
6A-C	28-12A	569			dep-gain	1
6A-C	28-08B	569			dep-offs	0
6A-C	29-26B	579			light-gain	1
6A-C	29-22B	567			light-offs	0
6A-HL	21-40B	395				
6A-HL	21-35A	380				
6A-HL	23-05B	391				
6A-HL	23-03A	303				
6A-HL	25-13B	377				
6A-HL	25-04A	369				
6A-HL	26-24A	371				
6A-HL	26-08A	400				
6A-HL	28-01B	450				
6A-HL	28-24B	420				
6A-HL	29-01B	461				
6A-HL	29-17A	490				
6A-HT	21-06B	567				
6A-HT	21-02A	556				
6A-HT	23-19A	526				
6A-HT	23-09B	512				
6A-HT	25-16A	465				
6A-HT	25-03B	457				
6A-HT	26-19A	589				
6A-HT	26-12A	557				
6A-HT	28-41B	508				
6A-HT	28-47A	483				
6A-HT	29-17B	577				
6A-HT	29-14A	567				
6B-C	21-04B	519				
6B-C	21-06A	523				
6B-C	23-20B	512				
6B-C	23-20A	553				
6B-C	25-17B	514				
6B-C	25-13A	504				
6B-C	26-23A	503				
6B-C	26-01B	528				
6B-C	28-50B	558				
6B-C	28-03A	595				
6B-C	29-23B	601				
6B-C	29-22A	622				
6B-HL	21-03B	370				
6B-HL	21-23A	403				
6B-HL	23-04B	431				
6B-HL	23-10A	352				
6B-HL	25-01A	321				
6B-HL	25-15A	362				
6B-HL	26-29A	421				
6B-HL	26-20A	378				
6B-HL	28-29A	462				
6B-HL	28-08A	437				
6B-HL	29-26A	415				
6B-HL	29-08B	455				
6B-HT	21-01A	535				
6B-HT	21-01B	464				
6B-HT	23-01B	417				
6B-HT	23-29B	483				
6B-HT	25-02A	419				
6B-HT	25-16B	405				
6B-HT	26-29B	522				
6B-HT	26-28B	533				
6B-HT	28-47B	333				
6B-HT	28-41A	465				
6B-HT	29-02B	496				
6B-HT	29-10A	502				
7A-C	21-27B	523				
7A-C	21-21B	531				
7A-C	23-09A	594				
7A-C	23-01A	552				
7A-C	25-12B	520				
7A-C	25-03A	537				
7A-C	26-19B	564				
7A-C	26-21B	562				
7A-C	28-01A	604				
7A-C	28-33A	607				
7A-C	29-14B	617				
7A-C	29-23A	636				
7A-HL	21-02B	428				
7A-HL	21-09B	392				
7A-HL	23-04A	400				
7A-HL	23-02A	372				
7A-HL	25-17A	370				
7A-HL	25-01B	360				
7A-HL	26-23B	416				
7A-HL	26-13A	392				
7A-HL	28-29B	422				
7A-HL	28-03B	440				
7A-HL	29-08A	459				
7A-HL	29-16B	461				
7A-HT	21-03A	540				
7A-HT	21-39A	498				
7A-HT	23-13B	450				
7A-HT	23-13A	489				
7A-HT	25-02B	392				
7A-HT	25-12A	422				
7A-HT	26-08B	521				
7A-HT	26-28A	555				
7A-HT	28-04A	485				
7A-HT	28-14B	484				
7A-HT	29-20B	561				
7A-HT	29-12A	515				
6B-HL	28-33B	399				
6B-HL	25-10B	367				
6B-HL	29-02A	430				
6B-HT	28-04B	387				
6B-HT	25-18A	404				
6B-HT	29-28B	502				
6A-HL	28-50A	461				
6A-HL	26-01A	395				
6A-HL	21-23B	364				
6A-HT	28-14A	514				
6A-HT	26-13B	626				
6A-HT	21-05A	550				
7A-HL	25-1A	424				
7A-HL	21-35B	341				
7A-HL	29-20A	484				
7A-HT	25-30A	414				
7A-HT	21-04A	533				
7A-HT	29-01A	559				
