Tank	Coral ID	Fv/Fm			Time start	12:40
7BH	21-01A	516			Time end	2:15
7AC	21-01B	511			meas-int	12
6AH	21-02A	539			out-gain	4
7AH	21-02B	530			damp	2
7AH	21-03A	525			sat-int	8
6AH	21-03B	533			sat-width	0.8
7BC	21-04A	521			etr-fac	0.84
6AC	21-04B	566			zero-offs	51
6AC	21-05A	533			dep-gain	1
7BC	21-06A	514			dep-offs	0
7AH	21-06B	512			light-gain	1
7BC	21-09B	470			light-offs	0
6AH	21-21B	542				
6AC	21-23A	549				
7BH	21-23B	515				
7AC	21-27B	542				
7BH	21-29B	523				
7AC	21-35A	515				
6AC	21-35B	597				
7AH	21-37A	492				
7AC	21-39A	520				
6AH	21-40B	507				
7AH	23-01A	496				
7BC	23-01B	582				
7AC	23-02A	561				
7AC	23-02B	573				
7BH	23-03A	412				
7BC	23-04A	575				
6AC	23-04B	587				
7AH	23-05B	436				
6AC	23-09A	651				
6AH	23-09B	580				
6AH	23-10A	565				
7BH	23-13A	541				
6AC	23-13B	600				
7AC	23-19A	604				
6AH	23-20A	579				
7BH	23-20B	454				
7BC	23-22A	576				
7AH	23-29B	540				
7BC	25-01A	568				
7AH	25-01B	442				
6AC	25-02A	507				
6AH	25-02B	471				
7AH	25-03A	496				
7AC	25-03B	483				
7AC	25-04A	483				
7BH	25-10B	448				
7BH	25-12A	471				
7AC	25-12B	532				
7BH	25-13A	393				
6AC	25-13B	512				
6AH	25-15A	459				
7AH	25-16A	499				
6AC	25-16B	529				
7BC	25-17A	519				
7BC	25-17B	504				
7BC	25-18A	501				
6AC	25-19A	512				
7BH	25-1A	437				
6AH	25-30A	446				
6AH	25-30B	398				
7AC	26-01A	514				
7BC	26-01B	507				
7AH	26-08A	530				
6AC	26-08B	506				
7BH	26-12A	492				
6AC	26-13A	523				
7BC	26-13B	516				
7AH	26-19A	505				
6AH	26-19B	500				
6AH	26-20A	482				
6AC	26-20B	567				
7AC	26-21B	523				
7BH	26-23A	473				
7BH	26-23B	500				
7AC	26-24A	465				
7AH	26-27B	477				
7AC	26-28A	554				
6AH	26-28B	549				
7AH	26-29A	536				
7BH	26-29B	546				
6AC	28-01A	594				
6AH	28-01B	519				
6AH	28-03A	438				
7BC	28-03B	599				
7AC	28-04A	565				
6AH	28-04B	556				
7AC	28-08A	574				
7AC	28-08B	591				
7BH	28-12A	351				
7BH	28-14A	507				
6AC	28-14B	591				
7BH	28-24B	476				
7AH	28-29A	530				
6AH	28-29B	555				
7BC	28-33A	575				
6AC	28-33B	618				
7BC	28-41A	552				
7AH	28-41B	483				
7BH	28-47A	515				
6AC	28-47B	557				
7BH	28-50A	579				
7AH	28-50B	491				
6AH	29-01A	416				
7BC	29-01B	565				
7AH	29-02A	451				
7AC	29-02B	598				
7AC	29-08A	592				
6AH	29-08B	531				
7AH	29-10A	523				
7BH	29-12A	496				
7BC	29-14A	599				
6AC	29-14B	610				
6AC	29-16B	648				
7BH	29-17A	509				
7BC	29-17B	596				
7AH	29-20A	560				
6AC	29-20B	622				
7BC	29-22A	599				
6AH	29-22B	544				
7AC	29-23A	592				
7AH	29-23B	515				
7BC	29-26A	603				
7BH	29-26B	578				
7AC	29-28B	605				
