Tank	Coral ID	Fv/Fm			Time start	12:53
6A-C	21-29B	523			Time end	2:01
6A-C	21-37A	500			meas-int	12
6A-C	23-02B	568			out-gain	10
6A-C	23-22A	522			damp	2
6A-C	25-19A	500			sat-int	8
6A-C	25-30B	501			sat-width	0.8
6A-C	26-27B	496			etr-fac	0.84
6A-C	26-20B	512			zero-offs	151
6A-C	28-12A	551			dep-gain	1
6A-C	28-08B	580			dep-offs	0
6A-C	29-26B	569			light-gain	1
6A-C	29-22B	588			light-offs	0
6A-HL	21-40B	446				
6A-HL	21-35A	451				
6A-HL	23-05B	442				
6A-HL	23-03A	417				
6A-HL	25-13B	452				
6A-HL	25-04A	440				
6A-HL	26-24A	434				
6A-HL	26-08A	457				
6A-HL	28-01B	527				
6A-HL	28-24B	541				
6A-HL	29-01B	551				
6A-HL	29-17A	532				
6A-HT	21-06B	582				
6A-HT	21-02A	589				
6A-HT	23-19A	522				
6A-HT	23-09B	500				
6A-HT	25-16A	502				
6A-HT	25-03B	522				
6A-HT	26-19A	604				
6A-HT	26-12A	564				
6A-HT	28-41B	878				
6A-HT	28-47A	701				
6A-HT	29-17B	561				
6A-HT	29-14A	609				
6B-C	21-04B	512				
6B-C	21-06A	506				
6B-C	23-20B	513				
6B-C	23-20A	563				
6B-C	25-17B	530				
6B-C	25-13A	510				
6B-C	26-23A	520				
6B-C	26-01B	524				
6B-C	28-50B	547				
6B-C	28-03A	612				
6B-C	29-23B	590				
6B-C	29-22A	590				
6B-HL	21-03B	575				
6B-HL	21-23A	582				
6B-HL	23-04B	568				
6B-HL	23-10A	595				
6B-HL	25-01A	516				
6B-HL	25-15A	603				
6B-HL	26-29A	581				
6B-HL	26-20A	575				
6B-HL	28-29A	570				
6B-HL	28-08A	579				
6B-HL	29-26A	557				
6B-HL	29-08B	595				
6B-HT	21-01A	595				
6B-HT	21-01B	548				
6B-HT	23-01B	602				
6B-HT	23-29B	562				
6B-HT	25-02A	530				
6B-HT	25-16B	520				
6B-HT	26-29B	595				
6B-HT	26-28B	588				
6B-HT	28-47B	485				
6B-HT	28-41A	516				
6B-HT	29-02B	627				
6B-HT	29-10A	634				
7A-C	21-27B	547				
7A-C	21-21B	558				
7A-C	23-09A	587				
7A-C	23-01A	608				
7A-C	25-12B	581				
7A-C	25-03A	573				
7A-C	26-19B	623				
7A-C	26-21B	603				
7A-C	28-01A	620				
7A-C	28-33A	642				
7A-C	29-14B	656				
7A-C	29-23A	694				
7A-HL	21-02B	533				
7A-HL	21-09B	537				
7A-HL	23-04A	578				
7A-HL	23-02A	538				
7A-HL	25-17A	547				
7A-HL	25-01B	539				
7A-HL	26-23B	560				
7A-HL	26-13A	578				
7A-HL	28-29B	574				
7A-HL	28-03B	634				
7A-HL	29-08A	611				
7A-HL	29-16B	611				
7A-HT	21-03A	580				
7A-HT	21-39A	515				
7A-HT	23-13B	601				
7A-HT	23-13A	646				
7A-HT	25-02B	486				
7A-HT	25-12A	478				
7A-HT	26-08B	529				
7A-HT	26-28A	554				
7A-HT	28-04A	517				
7A-HT	28-14B	442				
7A-HT	29-20B	610				
7A-HT	29-12A	585				
6B-HL	28-33B	546				
6B-HL	25-10B	508				
6B-HL	29-02A	575				
6B-HT	28-04B	504				
6B-HT	25-18A	514				
6B-HT	29-28B	626				
6A-HL	28-50A	538				
6A-HL	26-01A	470				
6A-HL	21-23B	432				
6A-HT	28-14A	435				
6A-HT	26-13B	620				
6A-HT	21-05A	569				
7A-HL	25-1A	533				
7A-HL	21-35B	515				
7A-HL	29-20A	632				
7A-HT	25-30A	483				
7A-HT	21-04A	546				
7A-HT	29-01A	601				
