Serial Number:20294701 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-30 23:33:39,87.44, , , , , 
2018-01-30 23:38:39,87.36, , , , , 
2018-01-30 23:43:39,87.75, , , , , 
2018-01-30 23:48:39,87.29, , , , , 
2018-01-30 23:53:39,87.67, , , , , 
2018-01-30 23:58:39,87.52, , , , , 
2018-01-31 00:03:39,87.44, , , , , 
2018-01-31 00:08:39,87.67, , , , , 
2018-01-31 00:13:39,87.21, , , , , 
2018-01-31 00:18:39,87.75, , , , , 
2018-01-31 00:23:39,87.29, , , , , 
2018-01-31 00:28:39,87.59, , , , , 
2018-01-31 00:33:39,87.29, , , , , 
2018-01-31 00:38:39,87.59, , , , , 
2018-01-31 00:43:39,87.52, , , , , 
2018-01-31 00:48:39,87.44, , , , , 
2018-01-31 00:53:39,87.75, , , , , 
2018-01-31 00:58:39,87.29, , , , , 
2018-01-31 01:03:39,87.83, , , , , 
2018-01-31 01:08:39,87.36, , , , , 
2018-01-31 01:13:39,87.36, , , , , 
2018-01-31 01:18:39,87.67, , , , , 
2018-01-31 01:23:39,87.21, , , , , 
2018-01-31 01:28:39,87.75, , , , , 
2018-01-31 01:33:39,87.21, , , , , 
2018-01-31 01:38:39,87.75, , , , , 
2018-01-31 01:43:39,87.52, , , , , 
2018-01-31 01:48:39,87.44, , , , , 
2018-01-31 01:53:39,87.83, , , , , 
2018-01-31 01:58:39,87.36, , , , , 
2018-01-31 02:03:39,87.75, , , , , 
2018-01-31 02:08:39,87.29, , , , , 
2018-01-31 02:13:39,87.67, , , , , 
2018-01-31 02:18:39,87.59, , , , , 
2018-01-31 02:23:39,87.29, , , , , 
2018-01-31 02:28:39,87.75, , , , , 
2018-01-31 02:33:39,87.36, , , , , 
2018-01-31 02:38:39,87.36, , , , , 
2018-01-31 02:43:39,87.83, , , , , 
2018-01-31 02:48:39,87.36, , , , , 
2018-01-31 02:53:39,87.36, , , , , 
2018-01-31 02:58:39,87.75, , , , , 
2018-01-31 03:03:39,87.21, , , , , 
2018-01-31 03:08:39,87.75, , , , , 
2018-01-31 03:13:39,87.52, , , , , 
2018-01-31 03:18:39,87.29, , , , , 
2018-01-31 03:23:39,87.75, , , , , 
2018-01-31 03:28:39,87.36, , , , , 
2018-01-31 03:33:39,87.90, , , , , 
2018-01-31 03:38:39,87.44, , , , , 
2018-01-31 03:43:39,87.36, , , , , 
2018-01-31 03:48:39,87.75, , , , , 
2018-01-31 03:53:39,87.29, , , , , 
2018-01-31 03:58:39,87.83, , , , , 
2018-01-31 04:03:39,87.52, , , , , 
2018-01-31 04:08:39,87.52, , , , , 
2018-01-31 04:13:39,87.75, , , , , 
2018-01-31 04:18:39,87.36, , , , , 
2018-01-31 04:23:39,87.83, , , , , 
2018-01-31 04:28:39,87.36, , , , , 
2018-01-31 04:33:39,87.75, , , , , 
2018-01-31 04:38:39,87.59, , , , , 
2018-01-31 04:43:39,87.44, , , , , 
2018-01-31 04:48:39,87.75, , , , , 
2018-01-31 04:53:39,87.36, , , , , 
2018-01-31 04:58:39,87.83, , , , , 
2018-01-31 05:03:39,87.44, , , , , 
2018-01-31 05:08:39,87.59, , , , , 
2018-01-31 05:13:39,87.67, , , , , 
2018-01-31 05:18:39,87.36, , , , , 
2018-01-31 05:23:39,87.83, , , , , 
2018-01-31 05:28:39,87.44, , , , , 
2018-01-31 05:33:39,87.83, , , , , 
2018-01-31 05:38:39,87.67, , , , , 
2018-01-31 05:43:39,87.36, , , , , 
2018-01-31 05:48:39,87.75, , , , , 
2018-01-31 05:53:39,87.29, , , , , 
2018-01-31 05:58:39,87.75, , , , , 
2018-01-31 06:03:39,87.52, , , , , 
2018-01-31 06:08:39,87.44, , , , , 
2018-01-31 06:13:39,87.67, , , , , 
2018-01-31 06:18:39,87.29, , , , , 
2018-01-31 06:23:39,87.90, , , , , 
2018-01-31 06:28:39,87.36, , , , , 
2018-01-31 06:33:39,87.67, , , , , 
2018-01-31 06:38:39,87.59, , , , , 
2018-01-31 06:43:39,87.29, , , , , 
2018-01-31 06:48:39,87.83, , , , , 
2018-01-31 06:53:39,87.44, , , , , 
2018-01-31 06:58:39,87.75, , , , , 
2018-01-31 07:03:39,87.67, , , , , 
2018-01-31 07:08:39,87.29, , , , , 
2018-01-31 07:13:39,88.06, , , , , 
2018-01-31 07:18:39,87.75, , , , , 
2018-01-31 07:23:39,87.75, , , , , 
2018-01-31 07:28:39,87.90, , , , , 
2018-01-31 07:33:39,87.44, , , , , 
2018-01-31 07:38:39,88.06, , , , , 
2018-01-31 07:43:39,87.83, , , , , 
2018-01-31 07:48:39,87.67, , , , , 
2018-01-31 07:53:39,88.06, , , , , 
2018-01-31 07:58:39,87.67, , , , , 
2018-01-31 08:03:39,88.13, , , , , 
2018-01-31 08:08:39,87.90, , , , , 
2018-01-31 08:13:39,87.83, , , , , 
2018-01-31 08:18:39,88.13, , , , , 
2018-01-31 08:23:39,87.75, , , , , 
2018-01-31 08:28:39,87.98, , , , , 
2018-01-31 08:33:39,88.13, , , , , 
2018-01-31 08:38:39,87.67, , , , , 
2018-01-31 08:43:39,87.83, , , , , 
2018-01-31 08:48:39,88.13, , , , , 
2018-01-31 08:53:39,87.67, , , , , 
2018-01-31 08:58:39,87.98, , , , , 
2018-01-31 09:03:39,87.98, , , , , 
2018-01-31 09:08:39,87.52, , , , , 
2018-01-31 09:13:39,88.06, , , , , 
2018-01-31 09:18:39,87.83, , , , , 
2018-01-31 09:23:39,87.52, , , , , 
2018-01-31 09:28:39,88.13, , , , , 
