Serial Number:20294702 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-30 12:17:55,74.31, , , , , 
2018-01-30 12:22:55,76.17, , , , , 
2018-01-30 12:27:55,75.08, , , , , 
2018-01-30 12:32:55,74.62, , , , , 
2018-01-30 12:37:55,74.23, , , , , 
2018-01-30 12:42:55,74.00, , , , , 
2018-01-30 12:47:55,73.85, , , , , 
2018-01-30 12:52:55,73.69, , , , , 
2018-01-30 12:57:55,73.54, , , , , 
2018-01-30 13:02:55,73.39, , , , , 
2018-01-30 13:07:55,73.23, , , , , 
2018-01-30 13:12:55,73.00, , , , , 
2018-01-30 13:17:55,73.15, , , , , 
2018-01-30 13:22:55,73.23, , , , , 
2018-01-30 13:27:55,73.39, , , , , 
2018-01-30 13:32:55,73.54, , , , , 
2018-01-30 13:37:55,73.62, , , , , 
2018-01-30 13:42:55,73.85, , , , , 
2018-01-30 13:47:55,74.08, , , , , 
2018-01-30 13:52:55,74.16, , , , , 
2018-01-30 13:57:55,74.54, , , , , 
2018-01-30 14:02:55,74.54, , , , , 
2018-01-30 14:07:55,74.78, , , , , 
2018-01-30 14:12:55,74.93, , , , , 
2018-01-30 14:17:55,75.01, , , , , 
2018-01-30 14:22:55,75.08, , , , , 
2018-01-30 14:27:55,74.93, , , , , 
2018-01-30 14:32:55,74.70, , , , , 
2018-01-30 14:37:55,74.31, , , , , 
2018-01-30 14:42:55,74.08, , , , , 
2018-01-30 14:47:55,73.93, , , , , 
2018-01-30 14:52:55,73.69, , , , , 
2018-01-30 14:57:55,73.54, , , , , 
2018-01-30 15:02:55,73.39, , , , , 
2018-01-30 15:07:55,73.39, , , , , 
2018-01-30 15:12:55,73.23, , , , , 
2018-01-30 15:17:55,73.46, , , , , 
2018-01-30 15:22:55,73.77, , , , , 
2018-01-30 15:27:55,74.08, , , , , 
2018-01-30 15:32:55,74.31, , , , , 
2018-01-30 15:37:55,74.54, , , , , 
2018-01-30 15:42:55,74.54, , , , , 
2018-01-30 15:47:55,74.78, , , , , 
2018-01-30 15:52:55,74.85, , , , , 
2018-01-30 15:57:55,74.62, , , , , 
2018-01-30 16:02:55,74.54, , , , , 
2018-01-30 16:07:55,74.16, , , , , 
2018-01-30 16:12:55,74.00, , , , , 
2018-01-30 16:17:55,73.85, , , , , 
2018-01-30 16:22:55,73.62, , , , , 
2018-01-30 16:27:55,73.46, , , , , 
2018-01-30 16:32:55,73.39, , , , , 
2018-01-30 16:37:55,73.31, , , , , 
2018-01-30 16:42:55,73.39, , , , , 
2018-01-30 16:47:55,73.69, , , , , 
2018-01-30 16:52:55,74.00, , , , , 
2018-01-30 16:57:55,74.23, , , , , 
2018-01-30 17:02:55,74.54, , , , , 
