Plot Title: 7B_H,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10257406, SEN S/N: 10257406)",Stopped (LGR S/N: 10257406),End Of File (LGR S/N: 10257406)
1,1/22/18 14:39,31.778,,
2,1/22/18 15:09,22.908,,
3,1/22/18 15:39,25.028,,
4,1/22/18 16:09,25.125,,
5,1/22/18 16:39,25.61,,
6,1/22/18 17:09,25.708,,
7,1/22/18 17:39,25.513,,
8,1/22/18 18:09,25.61,,
9,1/22/18 18:39,25.61,,
10,1/22/18 19:09,25.513,,
11,1/22/18 19:39,25.513,,
12,1/22/18 20:09,25.61,,
13,1/22/18 20:39,25.416,,
14,1/22/18 21:09,25.513,,
15,1/22/18 21:39,25.61,,
16,1/22/18 22:09,25.416,,
17,1/22/18 22:39,25.513,,
18,1/22/18 23:09,25.61,,
19,1/22/18 23:39,25.513,,
20,1/23/18 0:09,25.513,,
21,1/23/18 0:39,25.61,,
22,1/23/18 1:09,25.513,,
23,1/23/18 1:39,25.513,,
24,1/23/18 2:09,25.61,,
25,1/23/18 2:39,25.416,,
26,1/23/18 3:09,25.513,,
27,1/23/18 3:39,25.61,,
28,1/23/18 4:09,25.513,,
29,1/23/18 4:39,25.513,,
30,1/23/18 5:09,25.513,,
31,1/23/18 5:39,25.416,,
32,1/23/18 6:09,25.416,,
33,1/23/18 6:39,25.513,,
34,1/23/18 7:09,25.513,,
35,1/23/18 7:39,25.513,,
36,1/23/18 8:09,25.61,,
37,1/23/18 8:39,25.513,,
38,1/23/18 9:09,25.61,,
39,1/23/18 9:39,29.352,,
40,1/23/18 10:09,31.676,,
41,1/23/18 10:39,31.88,,
42,1/23/18 11:09,31.778,,
43,1/23/18 11:39,30.76,,
44,1/23/18 12:09,30.963,,
45,1/23/18 12:39,31.064,,
46,1/23/18 13:09,31.064,,
47,1/23/18 13:39,30.76,,
48,1/23/18 14:09,30.76,,
49,1/23/18 14:39,30.862,,
50,1/23/18 15:09,31.064,,
51,1/23/18 15:39,31.064,,
52,1/23/18 16:09,30.862,,
53,1/23/18 16:39,30.862,,
54,1/23/18 17:09,31.064,,
55,1/23/18 17:39,30.963,,
56,1/23/18 18:09,30.862,,
57,1/23/18 18:39,30.862,,
58,1/23/18 19:09,30.862,,
59,1/23/18 19:39,30.963,,
60,1/23/18 20:09,31.064,,
61,1/23/18 20:39,31.064,,
62,1/23/18 21:09,31.166,,
63,1/23/18 21:39,31.166,,
64,1/23/18 22:09,30.963,,
65,1/23/18 22:39,30.862,,
66,1/23/18 23:09,30.76,,
67,1/23/18 23:39,30.76,,
68,1/24/18 0:09,30.76,,
69,1/24/18 0:39,30.963,,
70,1/24/18 1:09,31.064,,
71,1/24/18 1:39,31.064,,
72,1/24/18 2:09,31.166,,
73,1/24/18 2:39,31.064,,
74,1/24/18 3:09,31.064,,
75,1/24/18 3:39,30.963,,
76,1/24/18 4:09,30.862,,
77,1/24/18 4:39,30.76,,
78,1/24/18 5:09,30.76,,
79,1/24/18 5:39,30.963,,
80,1/24/18 6:09,30.963,,
81,1/24/18 6:39,31.064,,
82,1/24/18 7:09,31.166,,
83,1/24/18 7:39,31.166,,
84,1/24/18 8:09,31.064,,
85,1/24/18 8:39,30.963,,
86,1/24/18 9:09,30.862,,
87,1/24/18 9:39,30.862,,
88,1/24/18 10:09,30.862,,
89,1/24/18 10:39,30.862,,
90,1/24/18 11:09,30.862,,
91,1/24/18 11:39,30.963,,
92,1/24/18 12:09,31.064,,
93,1/24/18 12:39,31.166,,
94,1/24/18 13:09,30.963,,
95,1/24/18 13:39,30.558,,
96,1/24/18 14:09,30.76,,
97,1/24/18 14:39,30.963,,
98,1/24/18 15:09,30.76,,
99,1/24/18 15:39,30.862,,
100,1/24/18 16:09,31.064,,
101,1/24/18 16:39,31.166,,
102,1/24/18 17:09,30.963,,
103,1/24/18 17:39,30.76,,
104,1/24/18 18:09,30.76,,
105,1/24/18 18:39,30.862,,
106,1/24/18 19:09,31.064,,
107,1/24/18 19:39,30.76,,
108,1/24/18 20:09,30.862,,
109,1/24/18 20:39,31.064,,
110,1/24/18 21:09,30.76,,
111,1/24/18 21:39,31.064,,
112,1/24/18 22:09,30.862,,
113,1/24/18 22:39,30.862,,
114,1/24/18 23:09,30.963,,
115,1/24/18 23:39,30.862,,
116,1/25/18 0:09,31.064,,
117,1/25/18 0:39,30.76,,
118,1/25/18 1:09,30.862,,
119,1/25/18 1:39,31.064,,
120,1/25/18 2:09,30.76,,
121,1/25/18 2:39,30.963,,
122,1/25/18 3:09,30.862,,
123,1/25/18 3:39,30.76,,
124,1/25/18 4:09,30.963,,
125,1/25/18 4:39,30.862,,
126,1/25/18 5:09,30.963,,
127,1/25/18 5:39,30.862,,
128,1/25/18 6:09,30.862,,
129,1/25/18 6:39,30.963,,
130,1/25/18 7:09,30.862,,
131,1/25/18 7:39,31.064,,
132,1/25/18 8:09,30.76,,
133,1/25/18 8:39,31.064,,
134,1/25/18 9:09,30.862,,
135,1/25/18 9:39,30.963,,
136,1/25/18 10:09,30.963,,
137,1/25/18 10:39,30.862,,
138,1/25/18 11:09,31.064,,
139,1/25/18 11:39,30.76,,
140,1/25/18 12:09,31.064,,
141,1/25/18 12:39,31.064,,
142,1/25/18 13:09,30.76,,
143,1/25/18 13:39,30.76,,
144,1/25/18 14:09,30.76,,
145,1/25/18 14:39,30.963,,
146,1/25/18 15:09,31.064,,
147,1/25/18 15:39,31.064,,
148,1/25/18 16:09,30.862,,
149,1/25/18 16:39,30.862,,
150,1/25/18 17:09,30.963,,
151,1/25/18 17:39,31.064,,
152,1/25/18 18:09,30.76,,
153,1/25/18 18:39,30.862,,
154,1/25/18 19:09,30.963,,
155,1/25/18 19:39,31.064,,
156,1/25/18 20:09,30.76,,
157,1/25/18 20:39,30.862,,
