"Plot Title: 7A_C"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10761949, SEN S/N: 10761949, LBL: Temp)","Stopped (LGR S/N: 10761949)","End Of File (LGR S/N: 10761949)"
135,01/25/18 09:23:27 AM,26.683,,
136,01/25/18 09:53:27 AM,26.683,,
137,01/25/18 10:23:27 AM,26.781,,
138,01/25/18 10:53:27 AM,26.781,,
139,01/25/18 11:23:27 AM,26.781,,
140,01/25/18 11:53:27 AM,26.781,,
141,01/25/18 12:23:27 PM,26.292,,
142,01/25/18 12:53:27 PM,26.292,,
143,01/25/18 01:23:27 PM,26.292,,
144,01/25/18 01:53:27 PM,26.390,,
145,01/25/18 02:23:27 PM,26.390,,
146,01/25/18 02:53:27 PM,26.488,,
147,01/25/18 03:23:27 PM,26.488,,
148,01/25/18 03:53:27 PM,26.488,,
149,01/25/18 04:23:27 PM,26.488,,
150,01/25/18 04:53:27 PM,26.488,,
151,01/25/18 05:23:27 PM,26.488,,
152,01/25/18 05:53:27 PM,26.585,,
153,01/25/18 06:23:27 PM,26.488,,
154,01/25/18 06:53:27 PM,26.292,,
155,01/25/18 07:23:27 PM,26.195,,
156,01/25/18 07:53:27 PM,26.195,,
157,01/25/18 08:23:27 PM,26.195,,
158,01/25/18 08:53:27 PM,26.195,,
159,01/25/18 09:23:27 PM,26.292,,
160,01/25/18 09:53:27 PM,26.195,,
161,01/25/18 10:23:27 PM,26.097,,
162,01/25/18 10:53:27 PM,26.097,,
163,01/25/18 11:23:27 PM,26.195,,
164,01/25/18 11:53:27 PM,26.195,,
165,01/26/18 12:23:27 AM,26.097,,
166,01/26/18 12:53:27 AM,26.097,,
167,01/26/18 01:23:27 AM,26.097,,
168,01/26/18 01:53:27 AM,26.195,,
169,01/26/18 02:23:27 AM,26.195,,
170,01/26/18 02:53:27 AM,26.097,,
171,01/26/18 03:23:27 AM,26.000,,
172,01/26/18 03:53:27 AM,26.000,,
173,01/26/18 04:23:27 AM,26.000,,
174,01/26/18 04:53:27 AM,26.097,,
175,01/26/18 05:23:27 AM,26.097,,
176,01/26/18 05:53:27 AM,26.000,,
177,01/26/18 06:23:27 AM,26.000,,
178,01/26/18 06:53:27 AM,25.902,,
179,01/26/18 07:23:27 AM,26.000,,
180,01/26/18 07:53:27 AM,26.195,,
181,01/26/18 08:23:27 AM,26.195,,
182,01/26/18 08:53:27 AM,26.292,,
183,01/26/18 09:23:27 AM,26.390,,
184,01/26/18 09:53:27 AM,26.390,,
185,01/26/18 10:23:27 AM,26.390,,
186,01/26/18 10:53:27 AM,26.390,,
187,01/26/18 11:23:27 AM,26.390,,
188,01/26/18 11:53:27 AM,26.390,,
189,01/26/18 12:23:27 PM,26.390,,
190,01/26/18 12:53:27 PM,26.488,,
191,01/26/18 01:23:27 PM,26.488,,
192,01/26/18 01:53:27 PM,26.488,,
193,01/26/18 02:23:27 PM,26.488,,
194,01/26/18 02:53:27 PM,27.173,,
195,01/26/18 03:23:27 PM,26.977,,
196,01/26/18 03:53:27 PM,26.977,,
197,01/26/18 04:23:27 PM,26.977,,
198,01/26/18 04:53:27 PM,26.977,,
199,01/26/18 05:23:27 PM,26.977,,
200,01/26/18 05:53:27 PM,26.977,,
201,01/26/18 06:23:27 PM,26.879,,
202,01/26/18 06:53:27 PM,25.902,,
203,01/26/18 07:23:27 PM,25.319,,
204,01/26/18 07:53:27 PM,25.610,,
205,01/26/18 08:23:27 PM,25.805,,
206,01/26/18 08:53:27 PM,26.000,,
207,01/26/18 09:23:27 PM,26.097,,
208,01/26/18 09:53:27 PM,26.292,,
209,01/26/18 10:23:27 PM,26.390,,
210,01/26/18 10:53:27 PM,26.390,,
211,01/26/18 11:23:27 PM,26.390,,
212,01/26/18 11:53:27 PM,26.390,,
213,01/27/18 12:23:27 AM,26.488,,
214,01/27/18 12:53:27 AM,26.585,,
215,01/27/18 01:23:27 AM,26.488,,
216,01/27/18 01:53:27 AM,26.488,,
217,01/27/18 02:23:27 AM,26.488,,
218,01/27/18 02:53:27 AM,26.585,,
219,01/27/18 03:23:27 AM,25.902,,
220,01/27/18 03:53:27 AM,25.319,,
221,01/27/18 04:23:27 AM,25.416,,
222,01/27/18 04:53:27 AM,25.805,,
223,01/27/18 05:23:27 AM,26.000,,
224,01/27/18 05:53:27 AM,26.195,,
225,01/27/18 06:23:27 AM,26.195,,
226,01/27/18 06:53:27 AM,26.292,,
227,01/27/18 07:23:27 AM,26.390,,
228,01/27/18 07:53:27 AM,26.585,,
229,01/27/18 08:23:27 AM,26.781,,
230,01/27/18 08:53:27 AM,26.781,,
231,01/27/18 09:23:27 AM,26.879,,
232,01/27/18 09:53:27 AM,26.879,,
233,01/27/18 10:23:27 AM,26.977,,
234,01/27/18 10:53:27 AM,26.683,,
235,01/27/18 11:23:27 AM,25.902,,
236,01/27/18 11:53:27 AM,25.416,,
237,01/27/18 12:23:27 PM,25.708,,
238,01/27/18 12:53:27 PM,26.195,,
239,01/27/18 01:23:27 PM,26.390,,
240,01/27/18 01:53:27 PM,26.585,,
241,01/27/18 02:23:27 PM,26.683,,
242,01/27/18 02:53:27 PM,26.781,,
243,01/27/18 03:23:27 PM,26.879,,
244,01/27/18 03:53:27 PM,26.977,,
245,01/27/18 04:23:27 PM,26.000,,
246,01/27/18 04:53:27 PM,25.416,,
247,01/27/18 05:23:27 PM,25.125,,
248,01/27/18 05:53:27 PM,25.902,,
249,01/27/18 06:23:27 PM,26.097,,
250,01/27/18 06:53:27 PM,26.195,,
251,01/27/18 07:23:27 PM,26.195,,
252,01/27/18 07:53:27 PM,26.292,,
253,01/27/18 08:23:27 PM,26.390,,
254,01/27/18 08:53:27 PM,26.488,,
255,01/27/18 09:23:27 PM,25.416,,
256,01/27/18 09:53:27 PM,24.738,,
257,01/27/18 10:23:27 PM,25.028,,
258,01/27/18 10:53:27 PM,25.610,,
259,01/27/18 11:23:27 PM,26.000,,
260,01/27/18 11:53:27 PM,26.097,,
261,01/28/18 12:23:27 AM,26.195,,
262,01/28/18 12:53:27 AM,26.292,,
263,01/28/18 01:23:27 AM,26.390,,
264,01/28/18 01:53:27 AM,26.488,,
265,01/28/18 02:23:27 AM,25.513,,
266,01/28/18 02:53:27 AM,24.738,,
267,01/28/18 03:23:27 AM,24.835,,
268,01/28/18 03:53:27 AM,25.416,,
269,01/28/18 04:23:27 AM,25.805,,
270,01/28/18 04:53:27 AM,26.000,,
271,01/28/18 05:23:27 AM,26.097,,
272,01/28/18 05:53:27 AM,26.195,,
273,01/28/18 06:23:27 AM,26.292,,
274,01/28/18 06:53:27 AM,26.390,,
275,01/28/18 07:23:27 AM,26.488,,
276,01/28/18 07:53:27 AM,26.781,,
277,01/28/18 08:23:27 AM,26.879,,
278,01/28/18 08:53:27 AM,25.805,,
279,01/28/18 09:23:27 AM,25.125,,
280,01/28/18 09:53:27 AM,24.738,,
281,01/28/18 10:23:27 AM,25.513,,
282,01/28/18 10:53:27 AM,26.000,,
283,01/28/18 11:23:27 AM,26.292,,
284,01/28/18 11:53:27 AM,26.585,,
285,01/28/18 12:23:27 PM,26.683,,
286,01/28/18 12:53:27 PM,26.195,,
287,01/28/18 01:23:27 PM,25.319,,
288,01/28/18 01:53:27 PM,24.931,,
289,01/28/18 02:23:27 PM,24.641,,
290,01/28/18 02:53:27 PM,25.222,,
291,01/28/18 03:23:27 PM,25.805,,
292,01/28/18 03:53:27 PM,26.195,,
293,01/28/18 04:23:27 PM,26.488,,
294,01/28/18 04:53:27 PM,26.683,,
295,01/28/18 05:23:27 PM,26.195,,
296,01/28/18 05:53:27 PM,25.416,,
297,01/28/18 06:23:27 PM,24.835,,
298,01/28/18 06:53:27 PM,24.448,,
299,01/28/18 07:23:27 PM,24.351,,
300,01/28/18 07:53:27 PM,25.222,,
301,01/28/18 08:23:27 PM,25.610,,
302,01/28/18 08:53:27 PM,25.902,,
303,01/28/18 09:23:27 PM,26.195,,
304,01/28/18 09:53:27 PM,26.390,,
305,01/28/18 10:23:27 PM,25.610,,
306,01/28/18 10:53:27 PM,24.835,,
307,01/28/18 11:23:27 PM,24.448,,
308,01/28/18 11:53:27 PM,24.351,,
309,01/29/18 12:23:27 AM,24.158,,
310,01/29/18 12:53:27 AM,24.641,,
311,01/29/18 01:23:27 AM,25.319,,
312,01/29/18 01:53:27 AM,25.610,,
313,01/29/18 02:23:27 AM,26.000,,
314,01/29/18 02:53:27 AM,26.292,,
315,01/29/18 03:23:27 AM,26.390,,
316,01/29/18 03:53:27 AM,25.610,,
317,01/29/18 04:23:27 AM,24.931,,
318,01/29/18 04:53:27 AM,24.641,,
319,01/29/18 05:23:27 AM,24.448,,
320,01/29/18 05:53:27 AM,24.255,,
321,01/29/18 06:23:27 AM,24.158,,
322,01/29/18 06:53:27 AM,24.931,,
323,01/29/18 07:23:27 AM,25.513,,
324,01/29/18 07:53:27 AM,26.000,,
325,01/29/18 08:23:27 AM,26.390,,
326,01/29/18 08:53:27 AM,26.585,,
327,01/29/18 09:23:27 AM,26.781,,
328,01/29/18 09:53:27 AM,26.683,,
329,01/29/18 10:23:27 AM,25.902,,
330,01/29/18 10:53:27 AM,25.513,,
331,01/29/18 11:23:27 AM,25.222,,
332,01/29/18 11:53:27 AM,24.738,,
333,01/29/18 12:23:27 PM,24.738,,
334,01/29/18 12:53:27 PM,25.708,,
335,01/29/18 01:23:27 PM,26.292,,
336,01/29/18 01:53:27 PM,24.738,,
337,01/29/18 02:23:27 PM,25.222,,
338,01/29/18 02:53:27 PM,24.255,,
339,01/29/18 03:23:27 PM,24.641,,
340,01/29/18 03:53:27 PM,25.416,,
341,01/29/18 04:23:27 PM,25.416,,
342,01/29/18 04:53:27 PM,25.125,,
343,01/29/18 05:23:27 PM,25.222,,
344,01/29/18 05:53:27 PM,23.677,,
345,01/29/18 06:23:27 PM,25.222,,
346,01/29/18 06:53:27 PM,24.931,,
347,01/29/18 07:23:27 PM,25.028,,
348,01/29/18 07:53:27 PM,25.610,,
349,01/29/18 08:23:27 PM,25.222,,
350,01/29/18 08:53:27 PM,24.931,,
351,01/29/18 09:23:27 PM,24.835,,
352,01/29/18 09:53:27 PM,25.513,,
353,01/29/18 10:23:27 PM,25.222,,
354,01/29/18 10:53:27 PM,24.835,,
355,01/29/18 11:23:27 PM,25.125,,
356,01/29/18 11:53:27 PM,25.513,,
357,01/30/18 12:23:27 AM,25.028,,
358,01/30/18 12:53:27 AM,24.931,,
359,01/30/18 01:23:27 AM,25.513,,
360,01/30/18 01:53:27 AM,25.125,,
361,01/30/18 02:23:27 AM,24.835,,
362,01/30/18 02:53:27 AM,25.416,,
363,01/30/18 03:23:27 AM,25.222,,
364,01/30/18 03:53:27 AM,24.835,,
365,01/30/18 04:23:27 AM,25.319,,
366,01/30/18 04:53:27 AM,25.319,,
367,01/30/18 05:23:27 AM,24.931,,
368,01/30/18 05:53:27 AM,24.835,,
369,01/30/18 06:23:27 AM,25.513,,
370,01/30/18 06:53:27 AM,25.125,,
371,01/30/18 07:23:27 AM,24.931,,
372,01/30/18 07:53:27 AM,25.805,,
373,01/30/18 08:23:27 AM,25.902,,
374,01/30/18 08:53:27 AM,25.416,,
375,01/30/18 09:23:27 AM,25.319,,
376,01/30/18 09:53:27 AM,25.902,,
377,01/30/18 10:23:27 AM,25.708,,
378,01/30/18 10:53:27 AM,25.319,,
379,01/30/18 11:23:27 AM,25.319,,
380,01/30/18 11:53:27 AM,25.902,,
381,01/30/18 12:23:27 PM,25.708,,
382,01/30/18 12:53:27 PM,25.513,,
383,01/30/18 01:23:27 PM,25.513,,
384,01/30/18 01:53:27 PM,25.610,,
385,01/30/18 02:23:27 PM,26.097,,
386,01/30/18 02:53:27 PM,26.585,,
387,01/30/18 03:23:27 PM,26.683,,
388,01/30/18 03:53:27 PM,26.390,,
389,01/30/18 04:23:27 PM,26.195,,
390,01/30/18 04:53:27 PM,26.292,,
391,01/30/18 05:23:27 PM,26.488,,
392,01/30/18 05:53:27 PM,26.683,,
393,01/30/18 06:23:27 PM,26.781,,
394,01/30/18 06:53:27 PM,26.781,,
395,01/30/18 07:23:27 PM,26.781,,
396,01/30/18 07:53:27 PM,26.585,,
397,01/30/18 08:23:27 PM,26.000,,
398,01/30/18 08:53:27 PM,25.805,,
399,01/30/18 09:23:27 PM,26.097,,
400,01/30/18 09:53:27 PM,26.292,,
401,01/30/18 10:23:27 PM,26.488,,
402,01/30/18 10:53:27 PM,26.683,,
403,01/30/18 11:23:27 PM,26.292,,
404,01/30/18 11:53:27 PM,25.805,,
405,01/31/18 12:23:27 AM,26.097,,
406,01/31/18 12:53:27 AM,26.292,,
407,01/31/18 01:23:27 AM,26.390,,
408,01/31/18 01:53:27 AM,26.390,,
409,01/31/18 02:23:27 AM,26.585,,
410,01/31/18 02:53:27 AM,26.683,,
411,01/31/18 03:23:27 AM,26.585,,
412,01/31/18 03:53:27 AM,26.000,,
413,01/31/18 04:23:27 AM,25.902,,
414,01/31/18 04:53:27 AM,26.195,,
415,01/31/18 05:23:27 AM,26.292,,
416,01/31/18 05:53:27 AM,26.488,,
417,01/31/18 06:23:27 AM,26.585,,
418,01/31/18 06:53:27 AM,26.683,,
419,01/31/18 07:23:27 AM,26.683,,
420,01/31/18 07:53:27 AM,26.781,,
421,01/31/18 08:23:27 AM,26.879,,
422,01/31/18 08:53:27 AM,26.977,,
