Serial Number:20294699 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-30 12:14:28,74.16, , , , , 
2018-01-30 12:19:28,75.47, , , , , 
2018-01-30 12:24:28,75.32, , , , , 
2018-01-30 12:29:28,74.70, , , , , 
2018-01-30 12:34:28,74.31, , , , , 
2018-01-30 12:39:28,74.08, , , , , 
2018-01-30 12:44:28,74.00, , , , , 
2018-01-30 12:49:28,73.77, , , , , 
2018-01-30 12:54:28,73.69, , , , , 
2018-01-30 12:59:28,73.62, , , , , 
2018-01-30 13:04:28,73.39, , , , , 
2018-01-30 13:09:28,73.23, , , , , 
2018-01-30 13:14:28,73.23, , , , , 
2018-01-30 13:19:28,73.23, , , , , 
2018-01-30 13:24:28,73.15, , , , , 
2018-01-30 13:29:28,73.31, , , , , 
2018-01-30 13:34:28,73.46, , , , , 
2018-01-30 13:39:28,73.39, , , , , 
2018-01-30 13:44:28,73.69, , , , , 
2018-01-30 13:49:28,73.85, , , , , 
2018-01-30 13:54:28,73.93, , , , , 
2018-01-30 13:59:28,74.08, , , , , 
2018-01-30 14:04:28,74.16, , , , , 
2018-01-30 14:09:28,74.39, , , , , 
2018-01-30 14:14:28,74.54, , , , , 
2018-01-30 14:19:28,74.70, , , , , 
2018-01-30 14:24:28,74.70, , , , , 
2018-01-30 14:29:28,74.54, , , , , 
2018-01-30 14:34:28,74.31, , , , , 
2018-01-30 14:39:28,74.23, , , , , 
2018-01-30 14:44:28,74.08, , , , , 
2018-01-30 14:49:28,73.85, , , , , 
2018-01-30 14:54:28,73.69, , , , , 
2018-01-30 14:59:28,73.54, , , , , 
2018-01-30 15:04:28,73.54, , , , , 
2018-01-30 15:09:28,73.39, , , , , 
2018-01-30 15:14:28,73.31, , , , , 
2018-01-30 15:19:28,73.39, , , , , 
2018-01-30 15:24:28,73.62, , , , , 
2018-01-30 15:29:28,73.77, , , , , 
2018-01-30 15:34:28,73.93, , , , , 
2018-01-30 15:39:28,74.08, , , , , 
2018-01-30 15:44:28,74.31, , , , , 
2018-01-30 15:49:28,74.47, , , , , 
2018-01-30 15:54:28,74.39, , , , , 
2018-01-30 15:59:28,74.31, , , , , 
2018-01-30 16:04:28,74.08, , , , , 
2018-01-30 16:09:28,74.00, , , , , 
2018-01-30 16:14:28,73.77, , , , , 
2018-01-30 16:19:28,73.69, , , , , 
2018-01-30 16:24:28,73.46, , , , , 
2018-01-30 16:29:28,73.46, , , , , 
2018-01-30 16:34:28,73.31, , , , , 
