Serial Number:20294700 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-30 12:16:59,74.47, , , , , 
2018-01-30 12:21:59,75.32, , , , , 
2018-01-30 12:26:59,75.08, , , , , 
2018-01-30 12:31:59,74.62, , , , , 
2018-01-30 12:36:59,74.39, , , , , 
2018-01-30 12:41:59,74.08, , , , , 
2018-01-30 12:46:59,74.00, , , , , 
2018-01-30 12:51:59,73.77, , , , , 
2018-01-30 12:56:59,73.62, , , , , 
2018-01-30 13:01:59,73.54, , , , , 
2018-01-30 13:06:59,73.39, , , , , 
2018-01-30 13:11:59,73.31, , , , , 
2018-01-30 13:16:59,73.23, , , , , 
2018-01-30 13:21:59,73.23, , , , , 
2018-01-30 13:26:59,73.39, , , , , 
2018-01-30 13:31:59,73.46, , , , , 
2018-01-30 13:36:59,73.54, , , , , 
2018-01-30 13:41:59,73.69, , , , , 
2018-01-30 13:46:59,73.93, , , , , 
2018-01-30 13:51:59,74.00, , , , , 
2018-01-30 13:56:59,74.23, , , , , 
2018-01-30 14:01:59,74.47, , , , , 
2018-01-30 14:06:59,74.54, , , , , 
2018-01-30 14:11:59,74.78, , , , , 
2018-01-30 14:16:59,74.70, , , , , 
2018-01-30 14:21:59,74.93, , , , , 
2018-01-30 14:26:59,74.85, , , , , 
2018-01-30 14:31:59,74.54, , , , , 
2018-01-30 14:36:59,74.47, , , , , 
2018-01-30 14:41:59,74.16, , , , , 
2018-01-30 14:46:59,73.93, , , , , 
2018-01-30 14:51:59,73.77, , , , , 
2018-01-30 14:56:59,73.62, , , , , 
2018-01-30 15:01:59,73.54, , , , , 
2018-01-30 15:06:59,73.54, , , , , 
2018-01-30 15:11:59,73.23, , , , , 
2018-01-30 15:16:59,73.31, , , , , 
2018-01-30 15:21:59,73.62, , , , , 
2018-01-30 15:26:59,73.85, , , , , 
2018-01-30 15:31:59,73.93, , , , , 
2018-01-30 15:36:59,74.23, , , , , 
2018-01-30 15:41:59,74.31, , , , , 
2018-01-30 15:46:59,74.62, , , , , 
2018-01-30 15:51:59,74.70, , , , , 
2018-01-30 15:56:59,74.47, , , , , 
2018-01-30 16:01:59,74.47, , , , , 
2018-01-30 16:06:59,74.08, , , , , 
2018-01-30 16:11:59,73.93, , , , , 
2018-01-30 16:16:59,73.62, , , , , 
2018-01-30 16:21:59,73.46, , , , , 
2018-01-30 16:26:59,73.39, , , , , 
2018-01-30 16:31:59,73.31, , , , , 
2018-01-30 16:36:59,73.23, , , , , 
2018-01-30 16:41:59,73.23, , , , , 
2018-01-30 16:46:59,73.46, , , , , 
2018-01-30 16:51:59,73.77, , , , , 
2018-01-30 16:56:59,74.08, , , , , 
2018-01-30 17:01:59,74.23, , , , , 
2018-01-30 17:06:59,74.39, , , , , 
2018-01-30 17:11:59,74.47, , , , , 
2018-01-30 17:16:59,76.40, , , , , 
2018-01-30 17:21:59,77.17, , , , , 
2018-01-30 17:26:59,77.32, , , , , 
2018-01-30 17:31:59,77.32, , , , , 
2018-01-30 17:36:59,77.25, , , , , 
2018-01-30 17:41:59,77.40, , , , , 
2018-01-30 17:46:59,77.40, , , , , 
2018-01-30 17:51:59,77.40, , , , , 
2018-01-30 17:56:59,77.40, , , , , 
2018-01-30 18:01:59,77.48, , , , , 
2018-01-30 18:06:59,77.48, , , , , 
2018-01-30 18:11:59,77.48, , , , , 
2018-01-30 18:16:59,77.56, , , , , 
2018-01-30 18:21:59,77.48, , , , , 
2018-01-30 18:26:59,77.48, , , , , 
2018-01-30 18:31:59,77.48, , , , , 
2018-01-30 18:36:59,77.56, , , , , 
2018-01-30 18:41:59,77.56, , , , , 
2018-01-30 18:46:59,77.56, , , , , 
2018-01-30 18:51:59,77.56, , , , , 
2018-01-30 18:56:59,77.56, , , , , 
2018-01-30 19:01:59,77.63, , , , , 
2018-01-30 19:06:59,77.63, , , , , 
2018-01-30 19:11:59,77.63, , , , , 
2018-01-30 19:16:59,77.63, , , , , 
2018-01-30 19:21:59,77.63, , , , , 
2018-01-30 19:26:59,77.63, , , , , 
2018-01-30 19:31:59,77.63, , , , , 
2018-01-30 19:36:59,77.56, , , , , 
2018-01-30 19:41:59,77.63, , , , , 
2018-01-30 19:46:59,77.71, , , , , 
2018-01-30 19:51:59,77.63, , , , , 
2018-01-30 19:56:59,77.71, , , , , 
2018-01-30 20:01:59,77.63, , , , , 
2018-01-30 20:06:59,77.48, , , , , 
