* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:17:21 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180622_NS_moteLH03.eds
* Experiment Name = NS_20180622_moteLH03
* Experiment Run End Time = 2018-06-22 12:19:42 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	EXPFAIL	CQCONF	HIGHSD	NOAMP
23	B11	false	25-03B-T1	C	UNKNOWN	VIC	NFQ-MGB	32.422	32.324	0.139								false	0.010	true	3	31	Amp		0.862	N	N	N	N
23	B11	false	25-03B-T1	D	UNKNOWN	FAM	NFQ-MGB	28.583	28.452	0.185								false	0.010	true	3	27	Amp		0.620	N	Y	N	N
24	B12	false	25-03B-T1	C	UNKNOWN	VIC	NFQ-MGB	32.225	32.324	0.139								false	0.010	true	3	31	Amp		0.866	N	N	N	N
24	B12	false	25-03B-T1	D	UNKNOWN	FAM	NFQ-MGB	28.322	28.452	0.185								false	0.010	true	3	27	Amp		0.568	N	Y	N	N
25	C1	false	26-27B-T1	Ssid	UNKNOWN	SYBR	None	36.918	35.853	1.507								false	0.010	true	3	39	No Amp		0.605	Y	Y	Y	N
26	C2	false	26-27B-T1	Ssid	UNKNOWN	SYBR	None	34.787	35.853	1.507								false	0.010	true	3	34	No Amp		0.666	N	Y	Y	N
27	C3	false	26-27B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
27	C3	false	26-27B-T1	D	UNKNOWN	FAM	NFQ-MGB	26.728	26.665	0.089								false	0.010	true	3	25	Amp		0.502	N	Y	N	N
28	C4	false	26-27B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
28	C4	false	26-27B-T1	D	UNKNOWN	FAM	NFQ-MGB	26.602	26.665	0.089								false	0.010	true	3	25	Amp		0.460	N	Y	N	N
29	C5	false	25-04A-T1	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
30	C6	false	25-04A-T1	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
31	C7	false	25-04A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
