* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:19:17 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180725_NS_moteLH07.eds
* Experiment Name = 20180725_NS_moteLH07
* Experiment Run End Time = 2018-07-25 08:18:02 AM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP
2	A2	false	21-21B-T1	Ssid	UNKNOWN	SYBR	None	21.525	21.739	0.303								false	0.010	true	3	21	Amp		0.343	Y	N	N	N
3	A3	false	21-21B-T1	Ssid	UNKNOWN	SYBR	None	21.954	21.739	0.303								false	0.010	true	3	21	Amp		0.418	Y	N	N	N
4	A4	false	21-21B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
4	A4	false	21-21B-T1	D	UNKNOWN	FAM	NFQ-MGB	28.669	28.870	0.284								false	0.010	true	3	28	Amp		0.509	Y	N	N	N
5	A5	false	21-21B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
5	A5	false	21-21B-T1	D	UNKNOWN	FAM	NFQ-MGB	29.071	28.870	0.284								false	0.010	true	3	28	Amp		0.544	Y	N	N	N
6	A6	false	25-01B-T1	Ssid	UNKNOWN	SYBR	None	19.636	19.437	0.281								false	0.010	true	3	19	Amp		0.397	Y	N	N	N
7	A7	false	25-01B-T1	Ssid	UNKNOWN	SYBR	None	19.238	19.437	0.281								false	0.010	true	3	18	Amp		0.321	Y	N	N	N
8	A8	false	25-01B-T1	C	UNKNOWN	VIC	NFQ-MGB	29.376	29.640	0.373								false	0.010	true	3	28	Amp		0.913	N	N	N	N
8	A8	false	25-01B-T1	D	UNKNOWN	FAM	NFQ-MGB	30.342	30.664	0.456								false	0.010	true	3	29	Amp		0.675	Y	N	N	N
9	A9	false	25-01B-T1	C	UNKNOWN	VIC	NFQ-MGB	29.903	29.640	0.373								false	0.010	true	3	29	Amp		0.905	N	N	N	N
9	A9	false	25-01B-T1	D	UNKNOWN	FAM	NFQ-MGB	30.986	30.664	0.456								false	0.010	true	3	30	Amp		0.818	N	N	N	N
10	A10	false	NTC	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
11	A11	false	NTC	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
13	B1	false	21-27B-T1	Ssid	UNKNOWN	SYBR	None	22.787	22.710	0.109								false	0.010	true	3	21	Amp		0.601	Y	N	N	N
14	B2	false	21-27B-T1	Ssid	UNKNOWN	SYBR	None	22.634	22.710	0.109								false	0.010	true	3	21	Amp		0.566	Y	N	N	N
15	B3	false	21-27B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
15	B3	false	21-27B-T1	D	UNKNOWN	FAM	NFQ-MGB	27.439	27.373	0.093								false	0.010	true	3	26	Amp		0.474	Y	N	N	N
16	B4	false	21-27B-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
16	B4	false	21-27B-T1	D	UNKNOWN	FAM	NFQ-MGB	27.307	27.373	0.093								false	0.010	true	3	26	Amp		0.481	Y	N	N	N
17	B5	false	26-13A-T1	Ssid	UNKNOWN	SYBR	None	18.222	18.548	0.461								false	0.010	true	3	17	Amp		0.385	Y	N	N	N
18	B6	false	26-13A-T1	Ssid	UNKNOWN	SYBR	None	18.874	18.548	0.461								false	0.010	true	3	17	Amp		0.501	Y	N	N	N
19	B7	false	26-13A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
