* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-07-27 11:27:50 AM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180723_NS_moteLH06.eds
* Experiment Name = 20180723_NS_moteLH06
* Experiment Run End Time = 2018-07-23 13:52:33 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	THOLDFAIL	CQCONF	EXPFAIL	HIGHSD	NOAMP
23	B11	false	Sample 18	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
23	B11	false	Sample 18	D	UNKNOWN	FAM	NFQ-MGB	31.694	31.830	0.191								true	0.126	true	3	27	Amp		0.955	N	N	N	N	N
24	B12	false	Sample 18	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
24	B12	false	Sample 18	D	UNKNOWN	FAM	NFQ-MGB	31.965	31.830	0.191								true	0.126	true	3	28	Amp		0.956	N	N	N	N	N
25	C1	false	Sample 3	Ssid	UNKNOWN	SYBR	None	32.761	32.704	0.081								true	0.040	true	3	29	Amp		0.956	Y	N	N	N	N
26	C2	false	Sample 3	Ssid	UNKNOWN	SYBR	None	32.647	32.704	0.081								true	0.040	true	3	29	Amp		0.947	Y	N	N	N	N
27	C3	false	Sample 3	C	UNKNOWN	VIC	NFQ-MGB	32.948	33.437	0.691								true	0.040	true	3	30	Amp		0.887	Y	N	N	Y	N
27	C3	false	Sample 3	D	UNKNOWN	FAM	NFQ-MGB	35.148	35.389	0.341								true	0.126	true	3	30	Amp		0.907	N	N	N	N	N
28	C4	false	Sample 3	C	UNKNOWN	VIC	NFQ-MGB	33.926	33.437	0.691								true	0.040	true	3	31	Amp		0.891	Y	N	N	Y	N
28	C4	false	Sample 3	D	UNKNOWN	FAM	NFQ-MGB	35.630	35.389	0.341								true	0.126	true	3	31	Amp		0.911	N	N	N	N	N
29	C5	false	Sample 11	Ssid	UNKNOWN	SYBR	None	36.088	36.112	0.035								true	0.040	true	3	32	Amp		0.731	Y	Y	N	N	N
30	C6	false	Sample 11	Ssid	UNKNOWN	SYBR	None	36.137	36.112	0.035								true	0.040	true	3	31	Amp		0.866	Y	N	N	N	N
31	C7	false	Sample 11	C	UNKNOWN	VIC	NFQ-MGB	31.352	31.329	0.032								true	0.040	true	3	28	Amp		0.899	Y	N	N	N	N
31	C7	false	Sample 11	D	UNKNOWN	FAM	NFQ-MGB	33.926	34.133	0.292								true	0.126	true	3	29	Amp		0.932	N	N	N	N	N
