* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:21:37 PM PDT
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180926_NS_motelh13.eds
* Experiment Name = 20180926_NS_motelh13
* Experiment Run End Time = 2018-09-26 11:22:43 AM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	HIGHSD	EXPFAIL	NOAMP
23	B11	false	21-03A-T3	C	UNKNOWN	VIC	NFQ-MGB	33.721	33.721									false	0.010	true	3	32	Amp		0.869	N	N	N	N
23	B11	false	21-03A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.503	23.695	0.272								false	0.010	true	3	23	Amp		0.378	Y	N	N	N
24	B12	false	21-03A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	33.721									false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
24	B12	false	21-03A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.887	23.695	0.272								false	0.010	true	3	23	Amp		0.372	Y	N	N	N
25	C1	false	25-19A-T3	Ssid	UNKNOWN	SYBR	None	21.971	21.802	0.239								false	0.010	true	3	21	Amp		0.397	Y	N	N	N
26	C2	false	25-19A-T3	Ssid	UNKNOWN	SYBR	None	21.633	21.802	0.239								false	0.010	true	3	20	Amp		0.334	Y	N	N	N
27	C3	false	25-19A-T3	C	UNKNOWN	VIC	NFQ-MGB	34.984	34.984									false	0.010	true	3	34	Amp		0.830	N	N	N	N
27	C3	false	25-19A-T3	D	UNKNOWN	FAM	NFQ-MGB	26.396	26.469	0.104								false	0.010	true	3	25	Amp		0.469	Y	N	N	N
28	C4	false	25-19A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	34.984									false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
28	C4	false	25-19A-T3	D	UNKNOWN	FAM	NFQ-MGB	26.542	26.469	0.104								false	0.010	true	3	25	Amp		0.468	Y	N	N	N
29	C5	false	25-04A-T3	Ssid	UNKNOWN	SYBR	None	25.485	24.325	1.641								false	0.010	true	3	25	Amp		0.599	Y	Y	N	N
30	C6	false	25-04A-T3	Ssid	UNKNOWN	SYBR	None	23.165	24.325	1.641								false	0.010	true	3	23	Amp		0.281	Y	Y	N	N
31	C7	false	25-04A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
31	C7	false	25-04A-T3	D	UNKNOWN	FAM	NFQ-MGB	24.753	24.781	0.040								false	0.010	true	3	23	Amp		0.394	Y	N	N	N
32	C8	false	25-04A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
32	C8	false	25-04A-T3	D	UNKNOWN	FAM	NFQ-MGB	24.809	24.781	0.040								false	0.010	true	3	23	Amp		0.385	Y	N	N	N
33	C9	false	21-37A-T3	Ssid	UNKNOWN	SYBR	None	24.312	24.869	0.788								false	0.010	true	3	23	Amp		0.457	Y	Y	N	N
34	C10	false	21-37A-T3	Ssid	UNKNOWN	SYBR	None	25.427	24.869	0.788								false	0.010	true	3	24	Amp		0.648	Y	Y	N	N
35	C11	false	21-37A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
35	C11	false	21-37A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.607	23.490	0.166								false	0.010	true	3	22	Amp		0.316	Y	N	N	N
36	C12	false	21-37A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
36	C12	false	21-37A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.373	23.490	0.166								false	0.010	true	3	21	Amp		0.286	Y	N	N	N
37	D1	false	26-20B-T3	Ssid	UNKNOWN	SYBR	None	23.339	23.472	0.188								false	0.010	true	3	22	Amp		0.508	Y	N	N	N
38	D2	false	26-20B-T3	Ssid	UNKNOWN	SYBR	None	23.604	23.472	0.188								false	0.010	true	3	23	Amp		0.506	Y	N	N	N
39	D3	false	26-20B-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	N
39	D3	false	26-20B-T3	D	UNKNOWN	FAM	NFQ-MGB	23.037	23.355	0.449								false	0.010	true	3	22	Amp		0.360	Y	N	N	N
40	D4	false	26-20B-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
40	D4	false	26-20B-T3	D	UNKNOWN	FAM	NFQ-MGB	23.673	23.355	0.449								false	0.010	true	3	22	Amp		0.442	Y	N	N	N
41	D5	false	21-39A-T3	Ssid	UNKNOWN	SYBR	None	25.767	25.199	0.803								false	0.010	true	3	25	Amp		0.676	Y	Y	N	N
42	D6	false	21-39A-T3	Ssid	UNKNOWN	SYBR	None	24.631	25.199	0.803								false	0.010	true	3	23	Amp		0.456	Y	Y	N	N
43	D7	false	21-39A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
43	D7	false	21-39A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.648	23.642	0.009								false	0.010	true	3	22	Amp		0.411	Y	N	N	N
44	D8	false	21-39A-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
44	D8	false	21-39A-T3	D	UNKNOWN	FAM	NFQ-MGB	23.635	23.642	0.009								false	0.010	true	3	22	Amp		0.426	Y	N	N	N
